2023.18.07 20:16:19.199782; Старт испытаний.
2023.18.07 20:16:19.205775; AzdkServerCommands; open socket [<enum 'AzdkServerCommands'>]
2023.18.07 20:16:19.328432; AzdkServerCommands; Поименовать соединение [id=4], P0=AzdkOdsTestApp, Flags =  00000000 00000000 sent
2023.18.07 20:16:19.504210; AzdkServerCommands; Поименовать соединение [id=4], P0=AzdkOdsTestApp, Flags =  00000000 00001000 answered
2023.18.07 20:16:19.524497; PDSServerCommands; open socket [<enum 'PDSServerCommands'>]
2023.18.07 20:16:19.623251; PDSServerCommands; Поименовать соединение [id=5], P0=AzdkOdsTestApp, Flags =  00000000 00000000 sent
2023.18.07 20:16:19.837176; PDSServerCommands; Поименовать соединение [id=5], P0=AzdkOdsTestApp, Flags =  00000000 00001000 answered
2023.18.07 20:16:19.887448; AzdkServerCommands; n1 [id=1], P0=azdk2309.test1, P1=7, Flags =  00000000 00000000 sent
2023.18.07 20:16:20.026018; PDSServerCommands; angle [id=2], P0={  0.000000,   0.000000,   0.000000}, Flags =  00000000 00000000 sent
2023.18.07 20:16:20.129663; PDSServerCommands; angle [id=2], P0={  0.000000,   0.000000,   0.000000}, Texec=2023-07-18 20:16:20.479000, Flags =  00000000 00001000 answered
2023.18.07 20:16:20.181453; PDSServerCommands; n3 [id=3], P0={ 0.500000,  0.500000,  0.500000,  0.500000}, Flags =  00000000 00000000 sent
2023.18.07 20:16:20.271565; PDSServerCommands; n3 [id=3], P0={ 0.500000,  0.500000,  0.500000,  0.500000}, Texec=2023-07-18 20:16:20.620000, Flags =  00000000 00001000 answered
2023.18.07 20:16:20.334820; AzdkServerCommands; Отправка команды АЗДК-1 [id=6], P0=3, P1=0, P2=0, P3=0, Flags =  00000000 00000000 sent
2023.18.07 20:16:20.611866; AzdkServerCommands; request time: 0.28491299999996045
2023.18.07 20:16:20.617847; AzdkServerCommands; Отправка команды АЗДК-1 [id=7], P0=4, P1=0, P2=0, Flags =  00000000 00000000 sent
2023.18.07 20:16:20.791816; AzdkServerCommands; request time: 0.17800910000005388
2023.18.07 20:16:20.798304; AzdkServerCommands; Отправка команды АЗДК-1 [id=8], P0=5, P1=0, P2=0, Flags =  00000000 00000000 sent
2023.18.07 20:16:21.066499; AzdkServerCommands; request time: 0.2728946000001997
2023.18.07 20:16:21.078248; AzdkServerCommands; Отправка команды АЗДК-1 [id=9], P0=32, P1=0, P2=0, P3=0, P4=0, Flags =  00000000 00000000 sent
2023.18.07 20:16:21.234453; AzdkServerCommands; request time: 0.16626480000013544
2023.18.07 20:16:21.247684; AzdkServerCommands; Отправка команды АЗДК-1 [id=10], P0=6, P1=0, P2=0, P3=0, Flags =  00000000 00000000 sent
2023.18.07 20:16:21.519258; AzdkServerCommands; request time: 0.2842403999998169
2023.18.07 20:16:21.526211; AzdkServerCommands; Отправка команды АЗДК-1 [id=11], P0=7, P1=0, P2=0, P3=0, Flags =  00000000 00000000 sent
2023.18.07 20:16:21.701231; AzdkServerCommands; request time: 0.18029070000011416
2023.18.07 20:16:21.711496; AzdkServerCommands; Отправка команды АЗДК-1 [id=12], P0=8, P1=0, Flags =  00000000 00000000 sent
2023.18.07 20:16:21.837630; AzdkServerCommands; request time: 0.13478010000017093
2023.18.07 20:16:21.850923; AzdkServerCommands; Отправка команды АЗДК-1 [id=13], P0=9, P1=0, P2=0, P3=0, P4=0, Flags =  00000000 00000000 sent
2023.18.07 20:16:22.145999; AzdkServerCommands; request time: 0.3068006999997124
2023.18.07 20:16:22.162937; AzdkServerCommands; Отправка команды АЗДК-1 [id=14], P0=10, P1=0, Flags =  00000000 00000000 sent
2023.18.07 20:16:22.314937; AzdkServerCommands; request time: 0.16728090000015072
2023.18.07 20:16:22.335009; AzdkServerCommands; Отправка команды АЗДК-1 [id=15], P0=11, P1=0, P2=0, P3=0, P4=0, P5=0, P6=0, P7=0, P8=0, P9=0, P10=0, P11=0, P12=0, P13=0, P14=0, P15=0, P16=0, Flags =  00000000 00000000 sent
2023.18.07 20:16:22.622047; AzdkServerCommands; request time: 0.30544910000025993
2023.18.07 20:16:22.628974; AzdkServerCommands; Отправка команды АЗДК-1 [id=16], P0=13, P1=0, P2=0, P3=0, P4=0, Flags =  00000000 00000000 sent
2023.18.07 20:16:22.760230; AzdkServerCommands; request time: 0.13657809999995152
2023.18.07 20:16:22.769985; AzdkServerCommands; Отправка команды АЗДК-1 [id=17], P0=16, Flags =  00000000 00000000 sent
2023.18.07 20:16:23.061771; AzdkServerCommands; request time: 0.3009951999997611
2023.18.07 20:16:23.072772; AzdkServerCommands; Отправка команды АЗДК-1 [id=18], P0=17, P1=0, Flags =  00000000 00000000 sent
2023.18.07 20:16:23.241192; AzdkServerCommands; request time: 0.17772819999981948
2023.18.07 20:16:23.251338; AzdkServerCommands; Отправка команды АЗДК-1 [id=19], P0=18, Flags =  00000000 00000000 sent
2023.18.07 20:16:23.532071; AzdkServerCommands; request time: 0.2900279999998929
2023.18.07 20:16:23.545106; AzdkServerCommands; Отправка команды АЗДК-1 [id=20], P0=19, Flags =  00000000 00000000 sent
2023.18.07 20:16:23.693793; AzdkServerCommands; request time: 0.15955639999992854
2023.18.07 20:16:23.700755; AzdkServerCommands; Отправка команды АЗДК-1 [id=21], P0=70, Flags =  00000000 00000000 sent
2023.18.07 20:16:23.852078; AzdkServerCommands; request time: 0.15660090000028504
2023.18.07 20:16:23.862990; PDSServerCommands; socket was closed
2023.18.07 20:16:23.872999; AzdkServerCommands; socket was closed
2023.18.07 20:16:23.874958; Конец испытаний.
