2023.02.07 19:06:21.071009; Старт испытаний.
2023.02.07 19:06:21.080165; AzdkServerCommands; open socket [<enum 'AzdkServerCommands'>]
2023.02.07 19:06:21.238188; AzdkServerCommands; Поименовать соединение [id=4], P0=AzdkOdsTestApp sent
2023.02.07 19:06:21.399983; AzdkServerCommands; Поименовать соединение [id=4], P0=AzdkOdsTestApp answered
2023.02.07 19:06:21.426097; PDSServerCommands; open socket [<enum 'PDSServerCommands'>]
2023.02.07 19:06:21.591452; PDSServerCommands; Поименовать соединение [id=5], P0=AzdkOdsTestApp sent
2023.02.07 19:06:21.740424; PDSServerCommands; Поименовать соединение [id=5], P0=AzdkOdsTestApp answered
2023.02.07 19:06:21.778335; AzdkServerCommands; Изменение шаблона имени файла журнала [id=1], P0=azdk2333.test1, P1=7 sent
2023.02.07 19:06:21.870473; AzdkServerCommands; Изменение шаблона имени файла журнала [id=1], P0=azdk2333.test1, P1=7 answered
2023.02.07 19:06:21.886644; PDSServerCommands; Установить ориентацию (GCRS) [id=2], P0={ 1.000000,  0.000000,  0.000000,  1.000000} sent
2023.02.07 19:06:21.974133; PDSServerCommands; Установить ориентацию (GCRS) [id=2], P0={ 1.000000,  0.000000,  0.000000,  1.000000}, Texec=2023-07-02 19:06:20.849000 answered
2023.02.07 19:06:31.894005; PDSServerCommands; Установить угловую скорость (GCRS) [id=3], P0={  0.500000,   1.000000,   1.000000} sent
2023.02.07 19:06:31.981836; PDSServerCommands; Установить угловую скорость (GCRS) [id=3], P0={  0.500000,   1.000000,   1.000000}, Texec=2023-07-02 19:06:30.857000 answered
2023.02.07 19:06:39.017087; AzdkServerCommands; Отправка команды АЗДК-1 [id=6], P0=49 sent
2023.02.07 19:06:39.192094; AzdkServerCommands; request time: 0.1981239999877289
2023.02.07 19:06:39.204136; AzdkServerCommands; Отправка команды АЗДК-1 [id=7], P0=7, P1=1, P2=1, P3=1 sent
2023.02.07 19:06:39.400721; AzdkServerCommands; request time: 0.2074620999628678
2023.02.07 19:06:39.420220; AzdkServerCommands; Отправка команды АЗДК-1 [id=8], P0=48 sent
2023.02.07 19:06:39.517335; AzdkServerCommands; Отправка команды АЗДК-1 [id=8], P0=48, A0=48, A1='' answered
2023.02.07 19:06:39.525279; AzdkServerCommands; request time: 0.12388620001729578
2023.02.07 19:06:39.529048; AzdkServerCommands; Отправка команды АЗДК-1 [id=9], P0=18 sent
2023.02.07 19:06:39.627733; AzdkServerCommands; Отправка команды АЗДК-1 [id=9], P0=18, A0=18, A1='00 00 01 00 00 00 01 00 00 00 01 00 a0 fd da 03 b6 00 e7 07' answered
2023.02.07 19:06:39.630904; AzdkServerCommands; request time: 0.10519390000263229
2023.02.07 19:06:39.638109; PDSServerCommands; socket was closed
2023.02.07 19:06:39.654094; AzdkServerCommands; socket was closed
2023.02.07 19:06:39.654991; Конец испытаний.
