2023.19.07 19:27:41.623108; Старт испытаний.
2023.19.07 19:27:41.663959; AzdkServerCommands; open socket [<enum 'AzdkServerCommands'>]
2023.19.07 19:27:41.786222; AzdkServerCommands; Поименовать соединение [id=4], P0=AzdkOdsTestApp, Flags =  00000000 00000000 sent
2023.19.07 19:27:41.963739; AzdkServerCommands; Поименовать соединение [id=4], P0=AzdkOdsTestApp, Flags =  00000000 00001000 answered
2023.19.07 19:27:41.986930; PDSServerCommands; open socket [<enum 'PDSServerCommands'>]
2023.19.07 19:27:42.112017; PDSServerCommands; Поименовать соединение [id=5], P0=AzdkOdsTestApp, Flags =  00000000 00000000 sent
2023.19.07 19:27:42.306315; PDSServerCommands; Поименовать соединение [id=5], P0=AzdkOdsTestApp, Flags =  00000000 00001000 answered
2023.19.07 19:27:42.314078; AzdkServerCommands; n1 [id=1], P0=azdk2309.test1, P1=7, Flags =  00000000 00000000 sent
2023.19.07 19:27:42.404439; AzdkServerCommands; n1 [id=1], P0=azdk2309.test1, P1=7, Flags =  00000000 00000000 answered
2023.19.07 19:27:42.469538; PDSServerCommands; angle [id=2], P0={  0.000000,   0.000000,   0.000000}, Flags =  00000000 00000000 sent
2023.19.07 19:27:42.559624; PDSServerCommands; angle [id=2], P0={  0.000000,   0.000000,   0.000000}, Texec=2023-07-19 19:27:42.233000, Flags =  00000000 00001000 answered
2023.19.07 19:27:42.611869; PDSServerCommands; n3 [id=3], P0={ 0.500000,  0.500000,  0.500000,  0.500000}, Flags =  00000000 00000000 sent
2023.19.07 19:27:42.701169; PDSServerCommands; n3 [id=3], P0={ 0.500000,  0.500000,  0.500000,  0.500000}, Texec=2023-07-19 19:27:42.376000, Flags =  00000000 00001000 answered
2023.19.07 19:27:42.765099; AzdkServerCommands; Отправка команды АЗДК-1 [id=6], P0=3, P1=0, P2=0, P3=0, Flags =  00000000 00000000 sent
2023.19.07 19:27:42.871344; AzdkServerCommands; Отправка команды АЗДК-1 [id=6], P0=3, P1=0, P2=0, P3=0, A0=3, A1='', Flags =  00000000 00000000 answered
2023.19.07 19:27:42.878365; AzdkServerCommands; request time: 0.11618889999226667
2023.19.07 19:27:42.891384; AzdkServerCommands; Отправка команды АЗДК-1 [id=7], P0=4, P1=0, P2=0, Flags =  00000000 00000000 sent
2023.19.07 19:27:42.999037; AzdkServerCommands; Отправка команды АЗДК-1 [id=7], P0=4, P1=0, P2=0, A0=4, A1=неверный номер регистра, A2=248, Flags =  00000000 00000001 answered
2023.19.07 19:27:43.005041; AzdkServerCommands; request time: 0.12490529999195132
2023.19.07 19:27:43.016263; AzdkServerCommands; Отправка команды АЗДК-1 [id=8], P0=5, P1=0, P2=0, Flags =  00000000 00000000 sent
2023.19.07 19:27:43.244536; AzdkServerCommands; request time: 0.2391468999994686
2023.19.07 19:27:43.261555; AzdkServerCommands; Отправка команды АЗДК-1 [id=9], P0=32, P1=0, P2=0, P3=0, P4=0, Flags =  00000000 00000000 sent
2023.19.07 19:27:43.366168; AzdkServerCommands; Отправка команды АЗДК-1 [id=9], P0=32, P1=0, P2=0, P3=0, P4=0, A0=32, A1='00 00', Flags =  00000000 00000000 answered
2023.19.07 19:27:43.375201; AzdkServerCommands; request time: 0.1289400000096066
2023.19.07 19:27:43.386179; AzdkServerCommands; Отправка команды АЗДК-1 [id=10], P0=6, P1=0, P2=0, P3=0, Flags =  00000000 00000000 sent
2023.19.07 19:27:43.505100; AzdkServerCommands; request time: 0.1295759999920847
2023.19.07 19:27:43.512079; AzdkServerCommands; Отправка команды АЗДК-1 [id=11], P0=7, P1=0, P2=0, P3=0, Flags =  00000000 00000000 sent
2023.19.07 19:27:43.738158; AzdkServerCommands; request time: 0.23128010000800714
2023.19.07 19:27:43.758232; AzdkServerCommands; Отправка команды АЗДК-1 [id=12], P0=8, P1=0, Flags =  00000000 00000000 sent
2023.19.07 19:27:43.862274; AzdkServerCommands; Отправка команды АЗДК-1 [id=12], P0=8, P1=0, A0=8, A1='', Flags =  00000000 00000000 answered
2023.19.07 19:27:43.868297; AzdkServerCommands; request time: 0.12950110000383575
2023.19.07 19:27:43.883483; AzdkServerCommands; Отправка команды АЗДК-1 [id=13], P0=9, P1=0, P2=0, P3=0, P4=0, Flags =  00000000 00000000 sent
2023.19.07 19:27:43.987942; AzdkServerCommands; Отправка команды АЗДК-1 [id=13], P0=9, P1=0, P2=0, P3=0, P4=0, A0=9, A1='', Flags =  00000000 00000000 answered
2023.19.07 19:27:43.997926; AzdkServerCommands; request time: 0.12922469999466557
2023.19.07 19:27:44.007931; AzdkServerCommands; Отправка команды АЗДК-1 [id=14], P0=10, P1=0, Flags =  00000000 00000000 sent
2023.19.07 19:27:44.125676; AzdkServerCommands; request time: 0.12625910001224838
2023.19.07 19:27:44.129875; AzdkServerCommands; Отправка команды АЗДК-1 [id=15], P0=11, P1=0, P2=0, P3=0, P4=0, P5=0, P6=0, P7=0, P8=0, P9=0, P10=0, P11=0, P12=0, P13=0, P14=0, P15=0, P16=0, Flags =  00000000 00000000 sent
2023.19.07 19:27:44.252996; AzdkServerCommands; request time: 0.126757699996233
2023.19.07 19:27:44.269425; AzdkServerCommands; Отправка команды АЗДК-1 [id=16], P0=13, P1=0, P2=0, P3=0, P4=0, Flags =  00000000 00000000 sent
2023.19.07 19:27:44.373992; AzdkServerCommands; Отправка команды АЗДК-1 [id=16], P0=13, P1=0, P2=0, P3=0, P4=0, A0=13, A1='', Flags =  00000000 00000000 answered
2023.19.07 19:27:44.378818; AzdkServerCommands; request time: 0.1252305000089109
2023.19.07 19:27:44.393579; AzdkServerCommands; Отправка команды АЗДК-1 [id=17], P0=16, Flags =  00000000 00000000 sent
2023.19.07 19:27:44.505404; AzdkServerCommands; request time: 0.1260671999916667
2023.19.07 19:27:44.516414; AzdkServerCommands; Отправка команды АЗДК-1 [id=18], P0=17, P1=0, Flags =  00000000 00000000 sent
2023.19.07 19:27:44.751613; AzdkServerCommands; request time: 0.245253800007049
2023.19.07 19:27:44.767549; AzdkServerCommands; Отправка команды АЗДК-1 [id=19], P0=18, Flags =  00000000 00000000 sent
2023.19.07 19:27:44.866690; AzdkServerCommands; Отправка команды АЗДК-1 [id=19], P0=18, A0=18, A1='00 00 00 00 00 00 00 00 00 00 00 00 14 76 6c 03 c7 00 e7 07', Flags =  00000000 00000000 answered
2023.19.07 19:27:44.868692; AzdkServerCommands; request time: 0.11529349999909755
2023.19.07 19:27:44.891570; AzdkServerCommands; Отправка команды АЗДК-1 [id=20], P0=19, Flags =  00000000 00000000 sent
2023.19.07 19:27:44.992499; AzdkServerCommands; Отправка команды АЗДК-1 [id=20], P0=19, A0=19, A1='00 00 00 00 00 00 00 00 00 00 00 00 93 ea 10 2a c7 00 e7 07', Flags =  00000000 00000000 answered
2023.19.07 19:27:44.999489; AzdkServerCommands; request time: 0.12862650000897702
2023.19.07 19:27:45.016528; AzdkServerCommands; Отправка команды АЗДК-1 [id=21], P0=70, Flags =  00000000 00000000 sent
2023.19.07 19:27:45.252594; AzdkServerCommands; request time: 0.251589999999851
2023.19.07 19:27:45.264222; PDSServerCommands; socket was closed
2023.19.07 19:27:45.280252; AzdkServerCommands; socket was closed
2023.19.07 19:27:45.281293; Конец испытаний.
