2023.31.05 16:13:31.0499072023.31.05 16:13:31.049907; AzdkServerCommands; open socket [<enum 'AzdkServerCommands'>]
2023.31.05 16:13:31.1945482023.31.05 16:13:31.194548; AzdkServerCommands; SET_CONN_NAME [id=4], AzdkOdsTestApp sent
2023.31.05 16:13:31.4019652023.31.05 16:13:31.401965; AzdkServerCommands; SET_CONN_NAME [id=4] answered
2023.31.05 16:13:31.4328832023.31.05 16:13:31.432883; PDSServerCommands; open socket [<enum 'PDSServerCommands'>]
2023.31.05 16:13:31.6223782023.31.05 16:13:31.622378; PDSServerCommands; SET_CONN_NAME [id=5], AzdkOdsTestApp sent
2023.31.05 16:13:31.8158572023.31.05 16:13:31.815857; PDSServerCommands; SET_CONN_NAME [id=5] answered
2023.31.05 16:13:31.8737312023.31.05 16:13:31.873731; AzdkServerCommands; n1 [id=1], azdk2309.test1, 7 sent
2023.31.05 16:13:31.8737312023.31.05 16:13:31.873731; PDSServerCommands; angle [id=2], {  0.000000,   0.000000,   0.000000} sent
2023.31.05 16:13:31.9844062023.31.05 16:13:31.984406; AzdkServerCommands; DEVICE_CMD [id=6], 49 sent
2023.31.05 16:13:31.9854032023.31.05 16:13:31.984406; PDSServerCommands; n3 [id=3], { 0.500000,  0.500000,  0.500000,  0.500000} sent
2023.31.05 16:13:32.0931462023.31.05 16:13:32.093146; PDSServerCommands; n3 [id=3], 2023-05-31 16:13:32.770000 answered
2023.31.05 16:13:32.0961362023.31.05 16:13:32.096136; AzdkServerCommands; DEVICE_CMD [id=6], 49 answered
2023.31.05 16:13:32.1020922023.31.05 16:13:32.102092; AzdkServerCommands; request time: 0.24117540009319782
2023.31.05 16:13:32.1020922023.31.05 16:13:32.102092; AzdkCommand; Id=0, Code=49, b''
2023.31.05 16:13:32.1120652023.31.05 16:13:32.112065; AzdkServerCommands; DEVICE_CMD [id=7], 7, 1, 1, 1 sent
2023.31.05 16:13:32.2197782023.31.05 16:13:32.219778; AzdkServerCommands; DEVICE_CMD [id=7], 7 answered
2023.31.05 16:13:32.2227972023.31.05 16:13:32.222797; AzdkServerCommands; request time: 0.12040629994589835
2023.31.05 16:13:32.2227972023.31.05 16:13:32.222797; AzdkCommand; Id=1, Code=7 [1, 1, 1], b''
2023.31.05 16:13:32.2387262023.31.05 16:13:32.238726; AzdkServerCommands; DEVICE_CMD [id=8], 7, 0, 0, 0 sent
2023.31.05 16:13:32.3574082023.31.05 16:13:32.357408; AzdkServerCommands; DEVICE_CMD [id=8], 7 answered
2023.31.05 16:13:32.3654152023.31.05 16:13:32.365415; AzdkServerCommands; request time: 0.14212550001684576
2023.31.05 16:13:32.3654152023.31.05 16:13:32.365415; AzdkCommand; Id=2, Code=7 [0, 0, 0], b''
2023.31.05 16:13:32.3823432023.31.05 16:13:32.382343; AzdkServerCommands; DEVICE_CMD [id=9], 48 sent
2023.31.05 16:13:32.6418852023.31.05 16:13:32.641885; AzdkServerCommands; DEVICE_CMD [id=9], 48 answered
2023.31.05 16:13:32.6498632023.31.05 16:13:32.649863; AzdkServerCommands; request time: 0.28407870000228286
2023.31.05 16:13:32.6498632023.31.05 16:13:32.649863; AzdkCommand; Id=3, Code=48, b''
2023.31.05 16:13:32.6658212023.31.05 16:13:32.665821; AzdkServerCommands; DEVICE_CMD [id=10], 18 sent
2023.31.05 16:13:32.7834792023.31.05 16:13:32.783479; AzdkServerCommands; DEVICE_CMD [id=10], 18, 00 00 00 00 00 00 00 00 00 00 00 00 32 62 e6 04 93 00 e7 07 answered
2023.31.05 16:13:32.7924532023.31.05 16:13:32.792453; AzdkServerCommands; request time: 0.1419393999967724
2023.31.05 16:13:32.7924532023.31.05 16:13:32.792453; AzdkCommand; Id=4, Code=18, answer=00 00 00 00 00 00 00 00 00 00 00 00 32 62 E6 04 93 00 E7 07
2023.31.05 16:13:32.8084122023.31.05 16:13:32.807415; PDSServerCommands; socket was closed
2023.31.05 16:13:32.8243682023.31.05 16:13:32.823400; AzdkServerCommands; socket was closed
