2023.17.07 17:17:30.222428; Старт испытаний.
2023.17.07 17:17:30.226402; AzdkServerCommands; open socket [<enum 'AzdkServerCommands'>]
2023.17.07 17:17:30.375415; AzdkServerCommands; Поименовать соединение [id=4], P0=AzdkOdsTestApp sent
2023.17.07 17:17:30.548955; AzdkServerCommands; Поименовать соединение [id=4], P0=AzdkOdsTestApp answered
2023.17.07 17:17:30.572888; PDSServerCommands; open socket [<enum 'PDSServerCommands'>]
2023.17.07 17:17:30.668579; PDSServerCommands; Поименовать соединение [id=5], P0=AzdkOdsTestApp sent
2023.17.07 17:17:30.878979; PDSServerCommands; Поименовать соединение [id=5], P0=AzdkOdsTestApp answered
2023.17.07 17:17:30.918628; AzdkServerCommands; n1 [id=1], P0=azdk2309.test1, P1=7 sent
2023.17.07 17:17:31.014372; AzdkServerCommands; n1 [id=1], P0=azdk2309.test1, P1=7 answered
2023.17.07 17:17:31.074212; PDSServerCommands; Установить ориентацию (GCRS) [id=2], P0={ 1.000000,  0.500000,  0.000000,  1.000000} sent
2023.17.07 17:17:31.161973; PDSServerCommands; Установить ориентацию (GCRS) [id=2], P0={ 1.000000,  0.500000,  0.000000,  1.000000}, Texec=2023-07-17 17:17:32.090000 answered
2023.17.07 17:17:31.230935; PDSServerCommands; Установить угловую скорость (GCRS) [id=3], P0={  0.500000,   1.000000,   1.000000} sent
2023.17.07 17:17:31.426705; PDSServerCommands; Установить угловую скорость (GCRS) [id=3], P0={  0.500000,   1.000000,   1.000000}, Texec=2023-07-17 17:17:32.247000 answered
2023.17.07 17:17:31.480088; AzdkServerCommands; Отправка команды АЗДК-1 [id=6], P0=7, P1=0, P2=0, P3=107374182 sent
2023.17.07 17:17:31.576490; AzdkServerCommands; Отправка команды АЗДК-1 [id=6], P0=7, P1=0, P2=0, P3=107374182, A0=7, A1='' answered
2023.17.07 17:17:31.577483; AzdkServerCommands; request time: 0.10909710003761575
2023.17.07 17:17:31.590452; AzdkServerCommands; Отправка команды АЗДК-1 [id=7], P0=18 sent
2023.17.07 17:17:31.687507; AzdkServerCommands; Отправка команды АЗДК-1 [id=7], P0=18, A0=18, A1='00 00 00 00 00 00 00 00 00 00 66 66 dd 5d 22 04 c1 00 e7 07' answered
2023.17.07 17:17:31.697477; AzdkServerCommands; request time: 0.11951029999181628
2023.17.07 17:17:31.698474; PDSServerCommands; socket was closed
2023.17.07 17:17:31.714431; AzdkServerCommands; socket was closed
2023.17.07 17:17:31.714431; Конец испытаний.
