2023.19.07 12:34:43.836633; Старт испытаний.
2023.19.07 12:34:43.842721; AzdkServerCommands; open socket [<enum 'AzdkServerCommands'>]
2023.19.07 12:34:43.967902; AzdkServerCommands; Поименовать соединение [id=4], P0=AzdkOdsTestApp, Flags =  00000000 00000000 sent
2023.19.07 12:34:44.144136; AzdkServerCommands; Поименовать соединение [id=4], P0=AzdkOdsTestApp, Flags =  00000000 00001000 answered
2023.19.07 12:34:44.159757; PDSServerCommands; open socket [<enum 'PDSServerCommands'>]
2023.19.07 12:34:44.278580; PDSServerCommands; Поименовать соединение [id=5], P0=AzdkOdsTestApp, Flags =  00000000 00000000 sent
2023.19.07 12:34:44.475221; PDSServerCommands; Поименовать соединение [id=5], P0=AzdkOdsTestApp, Flags =  00000000 00001000 answered
2023.19.07 12:34:44.525389; AzdkServerCommands; n1 [id=1], P0=azdk2309.test1, P1=7, Flags =  00000000 00000000 sent
2023.19.07 12:34:44.617183; AzdkServerCommands; n1 [id=1], P0=azdk2309.test1, P1=7, Flags =  00000000 00000000 answered
2023.19.07 12:34:44.678730; PDSServerCommands; angle [id=2], P0={  0.000000,   0.000000,   0.000000}, Flags =  00000000 00000000 sent
2023.19.07 12:34:44.769903; PDSServerCommands; angle [id=2], P0={  0.000000,   0.000000,   0.000000}, Texec=2023-07-19 12:34:44.256000, Flags =  00000000 00001000 answered
2023.19.07 12:34:44.825585; PDSServerCommands; n3 [id=3], P0={ 0.500000,  0.500000,  0.500000,  0.500000}, Flags =  00000000 00000000 sent
2023.19.07 12:34:44.916613; PDSServerCommands; n3 [id=3], P0={ 0.500000,  0.500000,  0.500000,  0.500000}, Texec=2023-07-19 12:34:44.402000, Flags =  00000000 00001000 answered
2023.19.07 12:34:44.979819; AzdkServerCommands; Отправка команды АЗДК-1 [id=6], P0=3, P1=0, P2=0, P3=0, Flags =  00000000 00000000 sent
2023.19.07 12:34:45.081448; AzdkServerCommands; Отправка команды АЗДК-1 [id=6], P0=3, P1=0, P2=0, P3=0, A0=3, A1='', Flags =  00000000 00000000 answered
2023.19.07 12:34:45.082458; AzdkServerCommands; request time: 0.10605029999715043
2023.19.07 12:34:45.099657; AzdkServerCommands; Отправка команды АЗДК-1 [id=7], P0=4, P1=0, P2=0, Flags =  00000000 00000000 sent
2023.19.07 12:34:45.192361; AzdkServerCommands; Отправка команды АЗДК-1 [id=7], P0=4, P1=0, P2=0, A0=4, A1=неверный номер регистра, A2=248, Flags =  00000000 00000001 answered
2023.19.07 12:34:45.199281; AzdkServerCommands; request time: 0.1141254999965895
2023.19.07 12:34:45.208012; AzdkServerCommands; Отправка команды АЗДК-1 [id=8], P0=5, P1=0, P2=0, Flags =  00000000 00000000 sent
2023.19.07 12:34:45.325580; AzdkServerCommands; request time: 0.125863199995365
2023.19.07 12:34:45.332225; AzdkServerCommands; Отправка команды АЗДК-1 [id=9], P0=32, P1=0, P2=0, P3=0, P4=0, Flags =  00000000 00000000 sent
2023.19.07 12:34:45.434239; AzdkServerCommands; Отправка команды АЗДК-1 [id=9], P0=32, P1=0, P2=0, P3=0, P4=0, A0=32, A1='00 00', Flags =  00000000 00000000 answered
2023.19.07 12:34:45.443651; AzdkServerCommands; request time: 0.11620570000377484
2023.19.07 12:34:45.456579; AzdkServerCommands; Отправка команды АЗДК-1 [id=10], P0=6, P1=0, P2=0, P3=0, Flags =  00000000 00000000 sent
2023.19.07 12:34:45.526937; Script is stoped
2023.19.07 12:34:48.607697; AzdkServerCommands; request time: 3.1625210999991396
2023.19.07 12:34:50.832291; PDSServerCommands; socket was closed
2023.19.07 12:34:51.637654; AzdkServerCommands; socket was closed
2023.19.07 12:34:51.638913; Конец испытаний.
