2023.26.06 15:09:25.795906; Старт испытаний.
2023.26.06 15:09:25.803882; AzdkServerCommands; open socket [<enum 'AzdkServerCommands'>]
2023.26.06 15:09:25.944090; AzdkServerCommands; SET_CONN_NAME [id=95], P0=AzdkOdsTestApp sent
2023.26.06 15:09:26.110053; AzdkServerCommands; SET_CONN_NAME [id=95], P0=AzdkOdsTestApp answered
2023.26.06 15:09:26.130994; PDSServerCommands; open socket [<enum 'PDSServerCommands'>]
2023.26.06 15:09:26.240068; PDSServerCommands; SET_CONN_NAME [id=96], P0=AzdkOdsTestApp sent
2023.26.06 15:09:26.454950; PDSServerCommands; SET_CONN_NAME [id=96], P0=AzdkOdsTestApp answered
2023.26.06 15:09:26.489240; AzdkServerCommands; template [id=92], P0=azdk2309.test1, P1=7 sent
2023.26.06 15:09:26.581902; AzdkServerCommands; template [id=92], P0=azdk2309.test1, P1=7 answered
2023.26.06 15:09:26.596533; PDSServerCommands; orient [id=93], P0={ 1.000000,  0.000000,  0.000000,  1.000000} sent
2023.26.06 15:09:26.682125; PDSServerCommands; orient [id=93], P0={ 1.000000,  0.000000,  0.000000,  1.000000}, Texec=2023-06-26 15:09:27.885000 answered
2023.26.06 15:09:26.705317; PDSServerCommands; angle [id=94], P0={  0.500000,   0.500000,   0.500000} sent
2023.26.06 15:09:26.843192; AzdkServerCommands; DEVICE_CMD [id=97], P0=49 sent
2023.26.06 15:09:26.996238; AzdkServerCommands; request time: 0.15790330001618713
2023.26.06 15:09:27.001223; AzdkServerCommands; DEVICE_CMD [id=98], P0=7, P1=1, P2=1, P3=1 sent
2023.26.06 15:09:27.107382; AzdkServerCommands; DEVICE_CMD [id=98], P0=7, P1=1, P2=1, P3=1, A0=7, A1='' answered
2023.26.06 15:09:27.114359; AzdkServerCommands; request time: 0.11770659999456257
2023.26.06 15:09:27.125065; AzdkServerCommands; DEVICE_CMD [id=99], P0=7, P1=0, P2=476741369, P3=0 sent
2023.26.06 15:09:27.213283; AzdkServerCommands; DEVICE_CMD [id=99], P0=7, P1=0, P2=476741369, P3=0, A0=7, A1='' answered
2023.26.06 15:09:27.221398; AzdkServerCommands; request time: 0.10674680001102388
2023.26.06 15:09:27.235047; AzdkServerCommands; DEVICE_CMD [id=100], P0=18 sent
2023.26.06 15:09:27.323088; AzdkServerCommands; DEVICE_CMD [id=100], P0=18, A0=18, A1='00 00 00 00 00 00 f9 7e 00 00 00 00 44 b6 17 03 b0 00 e7 07' answered
2023.26.06 15:09:27.327422; AzdkServerCommands; request time: 0.10570610000286251
2023.26.06 15:09:27.342297; PDSServerCommands; socket was closed
2023.26.06 15:09:27.356979; AzdkServerCommands; socket was closed
2023.26.06 15:09:27.356979; Конец испытаний.
