2023.02.07 20:03:22.384760; Старт испытаний.
2023.02.07 20:03:24.414607; AzdkServerCommands; open socket [<enum 'AzdkServerCommands'>]
2023.02.07 20:03:24.567099; AzdkServerCommands; Поименовать соединение [id=4], P0=AzdkOdsTestApp sent
2023.02.07 20:03:24.747447; AzdkServerCommands; Поименовать соединение [id=4], P0=AzdkOdsTestApp answered
2023.02.07 20:03:24.753433; PDSServerCommands; open socket [<enum 'PDSServerCommands'>]
2023.02.07 20:03:24.860203; PDSServerCommands; Поименовать соединение [id=5], P0=AzdkOdsTestApp sent
2023.02.07 20:03:25.071109; PDSServerCommands; Поименовать соединение [id=5], P0=AzdkOdsTestApp answered
2023.02.07 20:03:25.110134; AzdkServerCommands; Изменение шаблона имени файла журнала [id=1], P0=azdk2333.test1, P1=7 sent
2023.02.07 20:03:25.200454; AzdkServerCommands; Изменение шаблона имени файла журнала [id=1], P0=azdk2333.test1, P1=7 answered
2023.02.07 20:03:25.267963; AzdkServerCommands; Отправка команды АЗДК-1 [id=6], P0=49 sent
2023.02.07 20:03:25.368690; AzdkServerCommands; Отправка команды АЗДК-1 [id=6], P0=49, A0=49, A1='' answered
2023.02.07 20:03:25.375675; AzdkServerCommands; request time: 0.11878120002802461
2023.02.07 20:03:25.390637; PDSServerCommands; Установить ориентацию (GCRS) [id=2], P0={ 1.000000,  0.000000,  0.000000,  1.000000} sent
2023.02.07 20:03:25.482066; PDSServerCommands; Установить ориентацию (GCRS) [id=2], P0={ 1.000000,  0.000000,  0.000000,  1.000000}, Texec=2023-07-02 20:03:24.382000 answered
2023.02.07 20:03:25.530138; PDSServerCommands; Установить угловую скорость (GCRS) [id=3], P0={  0.500000,   1.000000,   1.000000} sent
2023.02.07 20:03:25.684589; AzdkServerCommands; Отправка команды АЗДК-1 [id=7], P0=7, P1=1, P2=1, P3=1 sent
2023.02.07 20:03:55.684808; AzdkServerCommands; Отправка команды АЗДК-1 [id=8], P0=48 sent
2023.02.07 20:03:55.788749; AzdkServerCommands; Отправка команды АЗДК-1 [id=8], P0=48, A0=48, A1='' answered
2023.02.07 20:03:55.789763; AzdkServerCommands; request time: 0.10847699997248128
2023.02.07 20:03:55.808121; AzdkServerCommands; Отправка команды АЗДК-1 [id=9], P0=18 sent
2023.02.07 20:03:55.926906; AzdkServerCommands; request time: 0.13538340001832694
2023.02.07 20:03:55.930927; PDSServerCommands; socket was closed
2023.02.07 20:03:55.946911; AzdkServerCommands; socket was closed
2023.02.07 20:03:55.947254; Конец испытаний.
