2023.17.07 16:42:41.346832; Старт испытаний.
2023.17.07 16:42:41.351819; AzdkServerCommands; open socket [<enum 'AzdkServerCommands'>]
2023.17.07 16:42:41.480416; AzdkServerCommands; Поименовать соединение [id=4], P0=AzdkOdsTestApp sent
2023.17.07 16:42:41.660823; AzdkServerCommands; Поименовать соединение [id=4], P0=AzdkOdsTestApp answered
2023.17.07 16:42:41.674445; PDSServerCommands; open socket [<enum 'PDSServerCommands'>]
2023.17.07 16:42:41.791335; PDSServerCommands; Поименовать соединение [id=5], P0=AzdkOdsTestApp sent
2023.17.07 16:42:42.016667; PDSServerCommands; Поименовать соединение [id=5], P0=AzdkOdsTestApp answered
2023.17.07 16:42:42.039686; AzdkServerCommands; n1 [id=1], P0=azdk2309.test1, P1=7 sent
2023.17.07 16:42:42.133461; AzdkServerCommands; n1 [id=1], P0=azdk2309.test1, P1=7 answered
2023.17.07 16:42:42.178133; PDSServerCommands; Установить ориентацию (GCRS) [id=2], P0={ 1.000000,  0.500000,  0.000000,  1.000000} sent
2023.17.07 16:42:42.267554; PDSServerCommands; Установить ориентацию (GCRS) [id=2], P0={ 1.000000,  0.500000,  0.000000,  1.000000}, Texec=2023-07-17 16:42:43.182000 answered
2023.17.07 16:42:42.334376; PDSServerCommands; Установить угловую скорость (GCRS) [id=3], P0={  0.500000,   1.000000,   1.000000} sent
2023.17.07 16:42:42.546566; PDSServerCommands; Установить угловую скорость (GCRS) [id=3], P0={  0.500000,   1.000000,   1.000000}, Texec=2023-07-17 16:42:43.336000 answered
2023.17.07 16:42:42.583465; AzdkServerCommands; Отправка команды АЗДК-1 [id=6], P0=7, P1=0, P2=0, P3=107374182 sent
2023.17.07 16:42:42.754349; AzdkServerCommands; request time: 0.1725643999525346
2023.17.07 16:42:42.769293; AzdkServerCommands; Отправка команды АЗДК-1 [id=7], P0=18 sent
2023.17.07 16:42:42.874553; AzdkServerCommands; Отправка команды АЗДК-1 [id=7], P0=18, A0=18, A1='00 00 00 00 00 00 00 00 00 00 66 66 dd 5d 22 04 c1 00 e7 07' answered
2023.17.07 16:42:42.885523; AzdkServerCommands; request time: 0.13062100001843646
2023.17.07 16:42:42.894499; PDSServerCommands; socket was closed
2023.17.07 16:42:42.909463; AzdkServerCommands; socket was closed
2023.17.07 16:42:42.909463; Конец испытаний.
