2023.17.07 16:10:30.466111; Старт испытаний.
2023.17.07 16:10:30.470073; AzdkServerCommands; open socket [<enum 'AzdkServerCommands'>]
2023.17.07 16:10:30.581196; AzdkServerCommands; Поименовать соединение [id=4], P0=AzdkOdsTestApp sent
2023.17.07 16:10:30.756094; AzdkServerCommands; Поименовать соединение [id=4], P0=AzdkOdsTestApp answered
2023.17.07 16:10:30.771754; PDSServerCommands; open socket [<enum 'PDSServerCommands'>]
2023.17.07 16:10:30.891712; PDSServerCommands; Поименовать соединение [id=5], P0=AzdkOdsTestApp sent
2023.17.07 16:10:31.087933; PDSServerCommands; Поименовать соединение [id=5], P0=AzdkOdsTestApp answered
2023.17.07 16:10:31.140788; AzdkServerCommands; n1 [id=1], P0=azdk2309.test1, P1=7 sent
2023.17.07 16:10:31.232546; AzdkServerCommands; n1 [id=1], P0=azdk2309.test1, P1=7 answered
2023.17.07 16:10:31.295378; PDSServerCommands; Установить ориентацию (GCRS) [id=2], P0={ 1.000000,  0.500000,  0.000000,  1.000000} sent
2023.17.07 16:10:31.382881; PDSServerCommands; Установить ориентацию (GCRS) [id=2], P0={ 1.000000,  0.500000,  0.000000,  1.000000}, Texec=2023-07-17 16:10:32.286000 answered
2023.17.07 16:10:31.448705; PDSServerCommands; Установить угловую скорость (GCRS) [id=3], P0={  0.500000,   1.000000,   1.000000} sent
2023.17.07 16:10:31.659208; PDSServerCommands; Установить угловую скорость (GCRS) [id=3], P0={  0.500000,   1.000000,   1.000000}, Texec=2023-07-17 16:10:32.441000 answered
2023.17.07 16:10:31.699105; AzdkServerCommands; Отправка команды АЗДК-1 [id=6], P0=7, P1=0, P2=0, P3=107374182 sent
2023.17.07 16:10:31.791857; AzdkServerCommands; Отправка команды АЗДК-1 [id=6], P0=7, P1=0, P2=0, P3=107374182, A0=7, A1='' answered
2023.17.07 16:10:31.798838; AzdkServerCommands; request time: 0.10821539995959029
2023.17.07 16:10:31.808510; AzdkServerCommands; Отправка команды АЗДК-1 [id=7], P0=18 sent
2023.17.07 16:10:32.037012; AzdkServerCommands; request time: 0.23768449999624863
2023.17.07 16:10:32.041997; PDSServerCommands; socket was closed
2023.17.07 16:10:32.056957; AzdkServerCommands; socket was closed
2023.17.07 16:10:32.056957; Конец испытаний.
