2023.03.07 17:59:02.187779; Старт испытаний.
2023.03.07 17:59:02.196754; AzdkServerCommands; open socket [<enum 'AzdkServerCommands'>]
2023.03.07 17:59:02.363164; AzdkServerCommands; Поименовать соединение [id=22], P0=AzdkOdsTestApp sent
2023.03.07 17:59:02.572967; AzdkServerCommands; Поименовать соединение [id=22], P0=AzdkOdsTestApp answered
2023.03.07 17:59:02.602889; PDSServerCommands; open socket [<enum 'PDSServerCommands'>]
2023.03.07 17:59:02.751862; PDSServerCommands; Поименовать соединение [id=23], P0=AzdkOdsTestApp sent
2023.03.07 17:59:02.979218; PDSServerCommands; Поименовать соединение [id=23], P0=AzdkOdsTestApp answered
2023.03.07 17:59:02.999165; AzdkServerCommands; Изменение шаблона имени файла журнала [id=19], P0=azdk2333.test1, P1=7 sent
2023.03.07 17:59:03.182147; AzdkServerCommands; Изменение шаблона имени файла журнала [id=19], P0=azdk2333.test1, P1=7 answered
2023.03.07 17:59:03.201883; AzdkServerCommands; Отправка команды АЗДК-1 [id=24], P0=49 sent
2023.03.07 17:59:03.340605; AzdkServerCommands; request time: 0.1468122999649495
2023.03.07 17:59:03.357169; PDSServerCommands; Установить ориентацию (GCRS) [id=20], P0={ 1.000000,  0.000000,  0.000000,  1.000000} sent
2023.03.07 17:59:03.465220; PDSServerCommands; Установить ориентацию (GCRS) [id=20], P0={ 1.000000,  0.000000,  0.000000,  1.000000}, Texec=2023-07-03 17:59:01.590000 answered
2023.03.07 17:59:03.497674; PDSServerCommands; Установить угловую скорость (GCRS) [id=21], P0={  0.500000,   1.000000,   1.000000} sent
2023.03.07 17:59:03.627225; PDSServerCommands; Установить угловую скорость (GCRS) [id=21], P0={  0.500000,   1.000000,   1.000000}, Texec=2023-07-03 17:59:01.753000 answered
2023.03.07 17:59:03.651922; AzdkServerCommands; Отправка команды АЗДК-1 [id=25], P0=7, P1=1, P2=1, P3=1 sent
2023.03.07 17:59:03.782167; AzdkServerCommands; request time: 0.13839929993264377
2023.03.07 17:59:03.791030; AzdkServerCommands; Отправка команды АЗДК-1 [id=26], P0=48 sent
2023.03.07 17:59:03.927836; AzdkServerCommands; request time: 0.14518330001737922
2023.03.07 17:59:03.930208; AzdkServerCommands; Отправка команды АЗДК-1 [id=27], P0=18 sent
2023.03.07 17:59:04.073110; AzdkServerCommands; request time: 0.14471079991199076
2023.03.07 17:59:04.084477; PDSServerCommands; socket was closed
2023.03.07 17:59:04.099728; AzdkServerCommands; socket was closed
2023.03.07 17:59:04.099728; Конец испытаний.
