2023.19.07 16:18:33.411920; Старт испытаний.
2023.19.07 16:18:33.452885; AzdkServerCommands; open socket [<enum 'AzdkServerCommands'>]
2023.19.07 16:18:33.572219; AzdkServerCommands; Поименовать соединение [id=4], P0=AzdkOdsTestApp, Flags =  00000000 00000000 sent
2023.19.07 16:18:33.742852; AzdkServerCommands; Поименовать соединение [id=4], P0=AzdkOdsTestApp, Flags =  00000000 00001000 answered
2023.19.07 16:18:33.763722; PDSServerCommands; open socket [<enum 'PDSServerCommands'>]
2023.19.07 16:18:33.880247; PDSServerCommands; Поименовать соединение [id=5], P0=AzdkOdsTestApp, Flags =  00000000 00000000 sent
2023.19.07 16:18:34.074952; PDSServerCommands; Поименовать соединение [id=5], P0=AzdkOdsTestApp, Flags =  00000000 00001000 answered
2023.19.07 16:18:34.127079; AzdkServerCommands; n1 [id=1], P0=azdk2309.test1, P1=7, Flags =  00000000 00000000 sent
2023.19.07 16:18:34.216798; AzdkServerCommands; n1 [id=1], P0=azdk2309.test1, P1=7, Flags =  00000000 00000000 answered
2023.19.07 16:18:34.281649; PDSServerCommands; angle [id=2], P0={  0.000000,   0.000000,   0.000000}, Flags =  00000000 00000000 sent
2023.19.07 16:18:34.371130; PDSServerCommands; angle [id=2], P0={  0.000000,   0.000000,   0.000000}, Texec=2023-07-19 16:18:33.960000, Flags =  00000000 00001000 answered
2023.19.07 16:18:34.436456; PDSServerCommands; n3 [id=3], P0={ 0.500000,  0.500000,  0.500000,  0.500000}, Flags =  00000000 00000000 sent
2023.19.07 16:18:34.527309; PDSServerCommands; n3 [id=3], P0={ 0.500000,  0.500000,  0.500000,  0.500000}, Texec=2023-07-19 16:18:34.116000, Flags =  00000000 00001000 answered
2023.19.07 16:18:34.578053; AzdkServerCommands; Отправка команды АЗДК-1 [id=6], P0=3, P1=0, P2=0, P3=0, Flags =  00000000 00000000 sent
2023.19.07 16:18:34.679343; AzdkServerCommands; Отправка команды АЗДК-1 [id=6], P0=3, P1=0, P2=0, P3=0, A0=3, A1='', Flags =  00000000 00000000 answered
2023.19.07 16:18:34.683376; AzdkServerCommands; request time: 0.10672940000949893
2023.19.07 16:18:34.703513; AzdkServerCommands; Отправка команды АЗДК-1 [id=7], P0=4, P1=0, P2=0, Flags =  00000000 00000000 sent
2023.19.07 16:18:34.813776; AzdkServerCommands; request time: 0.12870220000331756
2023.19.07 16:18:34.826851; AzdkServerCommands; Отправка команды АЗДК-1 [id=8], P0=5, P1=0, P2=0, Flags =  00000000 00000000 sent
2023.19.07 16:18:34.933166; AzdkServerCommands; Отправка команды АЗДК-1 [id=8], P0=5, P1=0, P2=0, A0=5, A1='', Flags =  00000000 00000000 answered
2023.19.07 16:18:34.935166; AzdkServerCommands; request time: 0.11952629999723285
2023.19.07 16:18:34.951317; AzdkServerCommands; Отправка команды АЗДК-1 [id=9], P0=32, P1=0, P2=0, P3=0, P4=0, Flags =  00000000 00000000 sent
2023.19.07 16:18:35.181475; AzdkServerCommands; request time: 0.24550560000352561
2023.19.07 16:18:35.199428; AzdkServerCommands; Отправка команды АЗДК-1 [id=10], P0=6, P1=0, P2=0, P3=0, Flags =  00000000 00000000 sent
2023.19.07 16:18:35.298919; AzdkServerCommands; Отправка команды АЗДК-1 [id=10], P0=6, P1=0, P2=0, P3=0, A0=6, A1='', Flags =  00000000 00000000 answered
2023.19.07 16:18:35.309171; AzdkServerCommands; request time: 0.12591339999926277
2023.19.07 16:18:35.322845; AzdkServerCommands; Отправка команды АЗДК-1 [id=11], P0=7, P1=0, P2=0, P3=0, Flags =  00000000 00000000 sent
2023.19.07 16:18:35.428169; AzdkServerCommands; Отправка команды АЗДК-1 [id=11], P0=7, P1=0, P2=0, P3=0, A0=7, A1='', Flags =  00000000 00000000 answered
2023.19.07 16:18:35.438109; AzdkServerCommands; request time: 0.12839159999566618
2023.19.07 16:18:35.449119; AzdkServerCommands; Отправка команды АЗДК-1 [id=12], P0=8, P1=0, Flags =  00000000 00000000 sent
2023.19.07 16:18:35.683728; AzdkServerCommands; request time: 0.2441093999950681
2023.19.07 16:18:35.695696; AzdkServerCommands; Отправка команды АЗДК-1 [id=13], P0=9, P1=0, P2=0, P3=0, P4=0, Flags =  00000000 00000000 sent
2023.19.07 16:18:35.793225; AzdkServerCommands; Отправка команды АЗДК-1 [id=13], P0=9, P1=0, P2=0, P3=0, P4=0, A0=9, A1='', Flags =  00000000 00000000 answered
2023.19.07 16:18:35.802243; AzdkServerCommands; request time: 0.11820409999927506
2023.19.07 16:18:35.820666; AzdkServerCommands; Отправка команды АЗДК-1 [id=14], P0=10, P1=0, Flags =  00000000 00000000 sent
2023.19.07 16:18:35.922611; AzdkServerCommands; Отправка команды АЗДК-1 [id=14], P0=10, P1=0, A0=10, A1='', Flags =  00000000 00000000 answered
2023.19.07 16:18:35.932585; AzdkServerCommands; request time: 0.12888489999750163
2023.19.07 16:18:35.946512; AzdkServerCommands; Отправка команды АЗДК-1 [id=15], P0=11, P1=0, P2=0, P3=0, P4=0, P5=0, P6=0, P7=0, P8=0, P9=0, P10=0, P11=0, P12=0, P13=0, P14=0, P15=0, P16=0, Flags =  00000000 00000000 sent
2023.19.07 16:18:36.176622; AzdkServerCommands; request time: 0.24258359998930246
2023.19.07 16:18:36.194755; AzdkServerCommands; Отправка команды АЗДК-1 [id=16], P0=13, P1=0, P2=0, P3=0, P4=0, Flags =  00000000 00000000 sent
2023.19.07 16:18:36.288209; AzdkServerCommands; Отправка команды АЗДК-1 [id=16], P0=13, P1=0, P2=0, P3=0, P4=0, A0=13, A1='', Flags =  00000000 00000000 answered
2023.19.07 16:18:36.294166; AzdkServerCommands; request time: 0.11587600001075771
2023.19.07 16:18:36.302188; AzdkServerCommands; Отправка команды АЗДК-1 [id=17], P0=16, Flags =  00000000 00000000 sent
2023.19.07 16:18:36.424120; AzdkServerCommands; request time: 0.12914739998814184
2023.19.07 16:18:36.431098; AzdkServerCommands; Отправка команды АЗДК-1 [id=18], P0=17, P1=0, Flags =  00000000 00000000 sent
2023.19.07 16:18:36.655882; AzdkServerCommands; request time: 0.23003000000608154
2023.19.07 16:18:36.674046; AzdkServerCommands; Отправка команды АЗДК-1 [id=19], P0=18, Flags =  00000000 00000000 sent
2023.19.07 16:18:36.794328; AzdkServerCommands; request time: 0.1367245000001276
2023.19.07 16:18:36.805298; AzdkServerCommands; Отправка команды АЗДК-1 [id=20], P0=19, Flags =  00000000 00000000 sent
2023.19.07 16:18:36.912068; AzdkServerCommands; request time: 0.11709030000201892
2023.19.07 16:18:36.923681; AzdkServerCommands; Отправка команды АЗДК-1 [id=21], P0=70, Flags =  00000000 00000000 sent
2023.19.07 16:18:37.159762; AzdkServerCommands; request time: 0.24718389999179635
2023.19.07 16:18:37.172504; PDSServerCommands; socket was closed
2023.19.07 16:18:37.188477; AzdkServerCommands; socket was closed
2023.19.07 16:18:37.189446; Конец испытаний.
