2023.17.07 16:50:15.402007; Старт испытаний.
2023.17.07 16:50:15.407991; AzdkServerCommands; open socket [<enum 'AzdkServerCommands'>]
2023.17.07 16:50:15.511713; AzdkServerCommands; Поименовать соединение [id=4], P0=AzdkOdsTestApp sent
2023.17.07 16:50:15.684765; AzdkServerCommands; Поименовать соединение [id=4], P0=AzdkOdsTestApp answered
2023.17.07 16:50:15.698338; PDSServerCommands; open socket [<enum 'PDSServerCommands'>]
2023.17.07 16:50:15.822008; PDSServerCommands; Поименовать соединение [id=5], P0=AzdkOdsTestApp sent
2023.17.07 16:50:16.014732; PDSServerCommands; Поименовать соединение [id=5], P0=AzdkOdsTestApp answered
2023.17.07 16:50:16.021710; AzdkServerCommands; n1 [id=1], P0=azdk2309.test1, P1=7 sent
2023.17.07 16:50:16.110473; AzdkServerCommands; n1 [id=1], P0=azdk2309.test1, P1=7 answered
2023.17.07 16:50:16.175299; PDSServerCommands; Установить ориентацию (GCRS) [id=2], P0={ 1.000000,  0.500000,  0.000000,  1.000000} sent
2023.17.07 16:50:16.265059; PDSServerCommands; Установить ориентацию (GCRS) [id=2], P0={ 1.000000,  0.500000,  0.000000,  1.000000}, Texec=2023-07-17 16:50:17.182000 answered
2023.17.07 16:50:16.330543; PDSServerCommands; Установить угловую скорость (GCRS) [id=3], P0={  0.500000,   1.000000,   1.000000} sent
2023.17.07 16:50:16.541693; PDSServerCommands; Установить угловую скорость (GCRS) [id=3], P0={  0.500000,   1.000000,   1.000000}, Texec=2023-07-17 16:50:17.338000 answered
2023.17.07 16:50:16.577500; AzdkServerCommands; Отправка команды АЗДК-1 [id=6], P0=7, P1=0, P2=0, P3=107374182 sent
2023.17.07 16:50:16.694143; AzdkServerCommands; request time: 0.11928119999356568
2023.17.07 16:50:16.700922; AzdkServerCommands; Отправка команды АЗДК-1 [id=7], P0=18 sent
2023.17.07 16:50:16.796673; AzdkServerCommands; Отправка команды АЗДК-1 [id=7], P0=18, A0=18, A1='00 00 00 00 00 00 00 00 00 00 66 66 dd 5d 22 04 c1 00 e7 07' answered
2023.17.07 16:50:16.802657; AzdkServerCommands; request time: 0.10799210000550374
2023.17.07 16:50:16.810631; PDSServerCommands; socket was closed
2023.17.07 16:50:16.825595; AzdkServerCommands; socket was closed
2023.17.07 16:50:16.826588; Конец испытаний.
