2023.02.07 18:11:17.674050; Старт испытаний.
2023.02.07 18:11:17.684480; AzdkServerCommands; open socket [<enum 'AzdkServerCommands'>]
2023.02.07 18:11:17.844265; AzdkServerCommands; Поименовать соединение [id=4], P0=AzdkOdsTestApp sent
2023.02.07 18:11:18.006634; AzdkServerCommands; Поименовать соединение [id=4], P0=AzdkOdsTestApp answered
2023.02.07 18:11:18.034631; PDSServerCommands; open socket [<enum 'PDSServerCommands'>]
2023.02.07 18:11:18.172886; PDSServerCommands; Поименовать соединение [id=5], P0=AzdkOdsTestApp sent
2023.02.07 18:11:18.353851; PDSServerCommands; Поименовать соединение [id=5], P0=AzdkOdsTestApp answered
2023.02.07 18:11:18.374754; AzdkServerCommands; Изменение шаблона имени файла журнала [id=1], P0=azdk2333.test1, P1=7 sent
2023.02.07 18:11:18.468097; AzdkServerCommands; Изменение шаблона имени файла журнала [id=1], P0=azdk2333.test1, P1=7 answered
2023.02.07 18:11:18.513826; PDSServerCommands; Установить ориентацию (GCRS) [id=2], P0=None, P1=None, P2=None, P3=None sent
2023.02.07 18:11:18.613223; PDSServerCommands; Установить ориентацию (GCRS) [id=2], P0=None, P1=None, P2=None, P3=None, A0=Отсутствует параметр, Texec=2023-07-02 18:11:17.462000 answered
2023.02.07 18:11:18.670276; PDSServerCommands; Установить угловую скорость (GCRS) [id=3], P0=None, P1=None, P2=None sent
2023.02.07 18:11:18.762347; PDSServerCommands; Установить угловую скорость (GCRS) [id=3], P0=None, P1=None, P2=None, A0=Отсутствует параметр, Texec=2023-07-02 18:11:17.608000 answered
2023.02.07 18:11:18.779075; AzdkServerCommands; Отправка команды АЗДК-1 [id=6], P0=49 sent
2023.02.07 18:11:18.998107; AzdkServerCommands; request time: 0.23283200000878423
2023.02.07 18:11:19.013269; AzdkServerCommands; Отправка команды АЗДК-1 [id=7], P0=7, P1=1, P2=1, P3=1 sent
2023.02.07 18:11:19.106635; AzdkServerCommands; Отправка команды АЗДК-1 [id=7], P0=7, P1=1, P2=1, P3=1, A0=7, A1='' answered
2023.02.07 18:11:19.114808; AzdkServerCommands; request time: 0.1137239999952726
2023.02.07 18:11:19.121192; AzdkServerCommands; Отправка команды АЗДК-1 [id=8], P0=48 sent
2023.02.07 18:11:19.221028; AzdkServerCommands; Отправка команды АЗДК-1 [id=8], P0=48, A0=48, A1='' answered
2023.02.07 18:11:19.222021; AzdkServerCommands; request time: 0.10663500003283843
2023.02.07 18:11:19.245249; AzdkServerCommands; Отправка команды АЗДК-1 [id=9], P0=18 sent
2023.02.07 18:11:19.347715; AzdkServerCommands; Отправка команды АЗДК-1 [id=9], P0=18, A0=18, A1='00 00 01 00 00 00 01 00 00 00 01 00 a0 fd da 03 b6 00 e7 07' answered
2023.02.07 18:11:19.358665; AzdkServerCommands; request time: 0.1358489000122063
2023.02.07 18:11:19.369175; PDSServerCommands; socket was closed
2023.02.07 18:11:19.384169; AzdkServerCommands; socket was closed
2023.02.07 18:11:19.384169; Конец испытаний.
