2023.31.05 19:03:55.474420; Старт испытаний.
2023.31.05 19:03:55.752672; AzdkServerCommands; open socket [<enum 'AzdkServerCommands'>]
2023.31.05 19:03:55.921261; AzdkServerCommands; SET_CONN_NAME [id=4], AzdkOdsTestApp sent
2023.31.05 19:03:56.120134; AzdkServerCommands; SET_CONN_NAME [id=4] answered
2023.31.05 19:03:56.159029; PDSServerCommands; open socket [<enum 'PDSServerCommands'>]
2023.31.05 19:03:56.298229; PDSServerCommands; SET_CONN_NAME [id=5], AzdkOdsTestApp sent
2023.31.05 19:03:56.529141; PDSServerCommands; SET_CONN_NAME [id=5] answered
2023.31.05 19:03:56.550625; AzdkServerCommands; n1 [id=1], azdk2309.test1, 7 sent
2023.31.05 19:03:56.550625; PDSServerCommands; angle [id=2], {  0.000000,   0.000000,   0.000000} sent
2023.31.05 19:03:56.657386; PDSServerCommands; angle [id=2], 2023-05-31 19:03:57.351000 answered
2023.31.05 19:03:56.657386; PDSServerCommands; n3 [id=3], { 0.500000,  0.500000,  0.500000,  0.500000} sent
2023.31.05 19:03:56.659380; AzdkServerCommands; DEVICE_CMD [id=6], 49 sent
2023.31.05 19:03:56.764367; PDSServerCommands; n3 [id=3], 2023-05-31 19:03:57.458000 answered
2023.31.05 19:03:56.767362; AzdkServerCommands; DEVICE_CMD [id=6], 49 answered
2023.31.05 19:03:56.774597; AzdkServerCommands; request time: 0.23786520003341138
2023.31.05 19:03:56.783497; AzdkServerCommands; DEVICE_CMD [id=7], 7, 1, 1, 1 sent
2023.31.05 19:03:57.056717; AzdkServerCommands; DEVICE_CMD [id=7], 7 answered
2023.31.05 19:03:57.063336; AzdkServerCommands; request time: 0.288646399974823
2023.31.05 19:03:57.078551; AzdkServerCommands; DEVICE_CMD [id=8], 7, 0, 0, 0 sent
2023.31.05 19:03:57.185474; AzdkServerCommands; DEVICE_CMD [id=8], 7 answered
2023.31.05 19:03:57.190264; AzdkServerCommands; request time: 0.12657609989400953
2023.31.05 19:03:57.201471; AzdkServerCommands; DEVICE_CMD [id=9], 48 sent
2023.31.05 19:03:57.311123; AzdkServerCommands; DEVICE_CMD [id=9], 48 answered
2023.31.05 19:03:57.317107; AzdkServerCommands; request time: 0.12667390005663037
2023.31.05 19:03:57.324088; AzdkServerCommands; DEVICE_CMD [id=10], 18 sent
2023.31.05 19:03:57.598355; AzdkServerCommands; DEVICE_CMD [id=10], 18, 00 00 00 00 00 00 00 00 00 00 00 00 32 62 e6 04 93 00 e7 07 answered
2023.31.05 19:03:57.599353; AzdkServerCommands; request time: 0.28205100004561245
2023.31.05 19:03:57.601467; PDSServerCommands; socket was closed
2023.31.05 19:03:57.617060; AzdkServerCommands; socket was closed
2023.31.05 19:03:57.617060; Конец испытаний.
