2023.18.07 20:10:29.422866; Старт испытаний.
2023.18.07 20:10:29.428852; AzdkServerCommands; open socket [<enum 'AzdkServerCommands'>]
2023.18.07 20:10:29.551689; AzdkServerCommands; Поименовать соединение [id=4], P0=AzdkOdsTestApp, Flags =  00000000 00000000 sent
2023.18.07 20:10:29.726019; AzdkServerCommands; Поименовать соединение [id=4], P0=AzdkOdsTestApp, Flags =  00000000 00001000 answered
2023.18.07 20:10:29.747962; PDSServerCommands; open socket [<enum 'PDSServerCommands'>]
2023.18.07 20:10:29.862301; PDSServerCommands; Поименовать соединение [id=5], P0=AzdkOdsTestApp, Flags =  00000000 00000000 sent
2023.18.07 20:10:30.056717; PDSServerCommands; Поименовать соединение [id=5], P0=AzdkOdsTestApp, Flags =  00000000 00001000 answered
2023.18.07 20:10:30.111858; AzdkServerCommands; n1 [id=1], P0=azdk2309.test1, P1=7, Flags =  00000000 00000000 sent
2023.18.07 20:10:30.204145; AzdkServerCommands; n1 [id=1], P0=azdk2309.test1, P1=7, Flags =  00000000 00000000 answered
2023.18.07 20:10:30.264903; PDSServerCommands; angle [id=2], P0={  0.000000,   0.000000,   0.000000}, Flags =  00000000 00000000 sent
2023.18.07 20:10:30.354911; PDSServerCommands; angle [id=2], P0={  0.000000,   0.000000,   0.000000}, Texec=2023-07-18 20:10:30.700000, Flags =  00000000 00001000 answered
2023.18.07 20:10:30.420381; PDSServerCommands; n3 [id=3], P0={ 0.500000,  0.500000,  0.500000,  0.500000}, Flags =  00000000 00000000 sent
2023.18.07 20:10:30.508684; PDSServerCommands; n3 [id=3], P0={ 0.500000,  0.500000,  0.500000,  0.500000}, Texec=2023-07-18 20:10:30.855000, Flags =  00000000 00001000 answered
2023.18.07 20:10:30.560348; AzdkServerCommands; Отправка команды АЗДК-1 [id=6], P0=3, P1=0, P2=0, P3=0, Flags =  00000000 00000000 sent
2023.18.07 20:10:30.655311; AzdkServerCommands; Отправка команды АЗДК-1 [id=6], P0=3, P1=0, P2=0, P3=0, A0=3, A1='', Flags =  00000000 00000000 answered
2023.18.07 20:10:30.662372; AzdkServerCommands; request time: 0.10389999999961219
2023.18.07 20:10:30.669051; AzdkServerCommands; Отправка команды АЗДК-1 [id=7], P0=4, P1=0, P2=0, Flags =  00000000 00000000 sent
2023.18.07 20:10:30.768140; AzdkServerCommands; Отправка команды АЗДК-1 [id=7], P0=4, P1=0, P2=0, A0=4, A1=неверный номер регистра, A2=248, Flags =  00000000 00000001 answered
2023.18.07 20:10:30.776051; AzdkServerCommands; request time: 0.11323600000014267
2023.18.07 20:10:30.793068; AzdkServerCommands; Отправка команды АЗДК-1 [id=8], P0=5, P1=0, P2=0, Flags =  00000000 00000000 sent
2023.18.07 20:10:31.030203; AzdkServerCommands; request time: 0.2527009000000362
2023.18.07 20:10:31.041970; AzdkServerCommands; Отправка команды АЗДК-1 [id=9], P0=32, P1=0, P2=0, P3=0, P4=0, Flags =  00000000 00000000 sent
2023.18.07 20:10:31.148318; AzdkServerCommands; Отправка команды АЗДК-1 [id=9], P0=32, P1=0, P2=0, P3=0, P4=0, A0=32, A1='00 00', Flags =  00000000 00000000 answered
2023.18.07 20:10:31.157419; AzdkServerCommands; request time: 0.12554610000006505
2023.18.07 20:10:31.166590; AzdkServerCommands; Отправка команды АЗДК-1 [id=10], P0=6, P1=0, P2=0, P3=0, Flags =  00000000 00000000 sent
2023.18.07 20:10:31.268805; AzdkServerCommands; Отправка команды АЗДК-1 [id=10], P0=6, P1=0, P2=0, P3=0, A0=6, A1='', Flags =  00000000 00000000 answered
2023.18.07 20:10:31.272806; AzdkServerCommands; request time: 0.11497419999977865
2023.18.07 20:10:31.289415; AzdkServerCommands; Отправка команды АЗДК-1 [id=11], P0=7, P1=0, P2=0, P3=0, Flags =  00000000 00000000 sent
2023.18.07 20:10:31.524478; AzdkServerCommands; request time: 0.2500849000002745
2023.18.07 20:10:31.538543; AzdkServerCommands; Отправка команды АЗДК-1 [id=12], P0=8, P1=0, Flags =  00000000 00000000 sent
2023.18.07 20:10:31.644463; AzdkServerCommands; Отправка команды АЗДК-1 [id=12], P0=8, P1=0, A0=8, A1='', Flags =  00000000 00000000 answered
2023.18.07 20:10:31.652006; AzdkServerCommands; request time: 0.12586469999996552
2023.18.07 20:10:31.663566; AzdkServerCommands; Отправка команды АЗДК-1 [id=13], P0=9, P1=0, P2=0, P3=0, P4=0, Flags =  00000000 00000000 sent
2023.18.07 20:10:31.777324; AzdkServerCommands; request time: 0.12491829999999027
2023.18.07 20:10:31.786267; AzdkServerCommands; Отправка команды АЗДК-1 [id=14], P0=10, P1=0, Flags =  00000000 00000000 sent
2023.18.07 20:10:32.019980; AzdkServerCommands; request time: 0.2410291999999572
2023.18.07 20:10:32.032664; AzdkServerCommands; Отправка команды АЗДК-1 [id=15], P0=11, P1=0, P2=0, P3=0, P4=0, P5=0, P6=0, P7=0, P8=0, P9=0, P10=0, P11=0, P12=0, P13=0, P14=0, P15=0, P16=0, Flags =  00000000 00000000 sent
2023.18.07 20:10:32.137167; AzdkServerCommands; Отправка команды АЗДК-1 [id=15], P0=11, P1=0, P2=0, P3=0, P4=0, P5=0, P6=0, P7=0, P8=0, P9=0, P10=0, P11=0, P12=0, P13=0, P14=0, P15=0, P16=0, A0=11, A1='', Flags =  00000000 00000000 answered
2023.18.07 20:10:32.137167; AzdkServerCommands; request time: 0.11735200000020996
2023.18.07 20:10:32.155412; AzdkServerCommands; Отправка команды АЗДК-1 [id=16], P0=13, P1=0, P2=0, P3=0, P4=0, Flags =  00000000 00000000 sent
2023.18.07 20:10:32.250796; AzdkServerCommands; Отправка команды АЗДК-1 [id=16], P0=13, P1=0, P2=0, P3=0, P4=0, A0=13, A1='', Flags =  00000000 00000000 answered
2023.18.07 20:10:32.254818; AzdkServerCommands; request time: 0.11429230000021562
2023.18.07 20:10:32.264763; AzdkServerCommands; Отправка команды АЗДК-1 [id=17], P0=16, Flags =  00000000 00000000 sent
2023.18.07 20:10:32.495713; AzdkServerCommands; request time: 0.23946449999994002
2023.18.07 20:10:32.514053; AzdkServerCommands; Отправка команды АЗДК-1 [id=18], P0=17, P1=0, Flags =  00000000 00000000 sent
2023.18.07 20:10:32.620195; AzdkServerCommands; Отправка команды АЗДК-1 [id=18], P0=17, P1=0, A0=17, A1='11 00 00 00', Flags =  00000000 00000000 answered
2023.18.07 20:10:32.625880; AzdkServerCommands; request time: 0.1285688000002665
2023.18.07 20:10:32.637472; AzdkServerCommands; Отправка команды АЗДК-1 [id=19], P0=18, Flags =  00000000 00000000 sent
2023.18.07 20:10:32.744000; AzdkServerCommands; Отправка команды АЗДК-1 [id=19], P0=18, A0=18, A1='00 00 00 00 00 00 00 00 00 00 00 00 cd ef 34 04 c5 00 e7 07', Flags =  00000000 00000000 answered
2023.18.07 20:10:32.753024; AzdkServerCommands; request time: 0.1266433999999208
2023.18.07 20:10:32.763448; AzdkServerCommands; Отправка команды АЗДК-1 [id=20], P0=19, Flags =  00000000 00000000 sent
2023.18.07 20:10:32.994577; AzdkServerCommands; request time: 0.23949279999987994
2023.18.07 20:10:33.008797; AzdkServerCommands; Отправка команды АЗДК-1 [id=21], P0=70, Flags =  00000000 00000000 sent
2023.18.07 20:10:33.110937; AzdkServerCommands; Отправка команды АЗДК-1 [id=21], P0=70, A0=70, A1=запрещенная команда, A2=244, Flags =  00000000 00000001 answered
2023.18.07 20:10:33.111930; AzdkServerCommands; request time: 0.11575970000012603
2023.18.07 20:10:33.122977; PDSServerCommands; socket was closed
2023.18.07 20:10:33.132914; AzdkServerCommands; socket was closed
2023.18.07 20:10:33.133912; Конец испытаний.
