2023.18.07 17:34:30.808409; Старт испытаний.
2023.18.07 17:34:30.814251; AzdkServerCommands; open socket [<enum 'AzdkServerCommands'>]
2023.18.07 17:34:30.921547; AzdkServerCommands; Поименовать соединение [id=4], P0=AzdkOdsTestApp, Flags =  00000000 00000000 sent
2023.18.07 17:34:31.092142; AzdkServerCommands; Поименовать соединение [id=4], P0=AzdkOdsTestApp, Flags =  00000000 00001000 answered
2023.18.07 17:34:31.110705; PDSServerCommands; open socket [<enum 'PDSServerCommands'>]
2023.18.07 17:34:31.215118; PDSServerCommands; Поименовать соединение [id=5], P0=AzdkOdsTestApp, Flags =  00000000 00000000 sent
2023.18.07 17:34:31.425807; PDSServerCommands; Поименовать соединение [id=5], P0=AzdkOdsTestApp, Flags =  00000000 00001000 answered
2023.18.07 17:34:31.464728; AzdkServerCommands; n1 [id=1], P0=azdk2309.test1, P1=7, Flags =  00000000 00000000 sent
2023.18.07 17:34:31.555402; AzdkServerCommands; n1 [id=1], P0=azdk2309.test1, P1=7, Flags =  00000000 00000000 answered
2023.18.07 17:34:31.620102; PDSServerCommands; angle [id=2], P0={  0.000000,   0.000000,   0.000000}, Flags =  00000000 00000000 sent
2023.18.07 17:34:31.709129; PDSServerCommands; angle [id=2], P0={  0.000000,   0.000000,   0.000000}, Texec=2023-07-18 17:34:33.199000, Flags =  00000000 00001000 answered
2023.18.07 17:34:31.760666; PDSServerCommands; n3 [id=3], P0={ 0.500000,  0.500000,  0.500000,  0.500000}, Flags =  00000000 00000000 sent
2023.18.07 17:34:31.856507; PDSServerCommands; n3 [id=3], P0={ 0.500000,  0.500000,  0.500000,  0.500000}, Texec=2023-07-18 17:34:33.347000, Flags =  00000000 00001000 answered
2023.18.07 17:34:31.915729; AzdkServerCommands; Отправка команды АЗДК-1 [id=6], P0=3, P1=0, P2=0, P3=0, Flags =  00000000 00000000 sent
2023.18.07 17:34:32.025374; AzdkServerCommands; Отправка команды АЗДК-1 [id=6], P0=3, P1=0, P2=0, P3=0, A0=3, A1='', Flags =  00000000 00000000 answered
2023.18.07 17:34:32.027384; AzdkServerCommands; request time: 0.11548889998812228
2023.18.07 17:34:32.040342; AzdkServerCommands; Отправка команды АЗДК-1 [id=7], P0=4, P1=0, P2=0, Flags =  00000000 00000000 sent
2023.18.07 17:34:32.133928; AzdkServerCommands; Отправка команды АЗДК-1 [id=7], P0=4, P1=0, P2=0, A0=4, A1=неверный номер регистра, A2=248, Flags =  00000000 00000001 answered
2023.18.07 17:34:32.144800; AzdkServerCommands; request time: 0.11573129997123033
2023.18.07 17:34:32.150116; AzdkServerCommands; Отправка команды АЗДК-1 [id=8], P0=5, P1=0, P2=0, Flags =  00000000 00000000 sent
2023.18.07 17:34:32.387745; AzdkServerCommands; request time: 0.242458299966529
2023.18.07 17:34:32.398156; AzdkServerCommands; Отправка команды АЗДК-1 [id=9], P0=32, P1=0, P2=0, P3=0, P4=0, Flags =  00000000 00000000 sent
2023.18.07 17:34:32.499119; AzdkServerCommands; Отправка команды АЗДК-1 [id=9], P0=32, P1=0, P2=0, P3=0, P4=0, A0=32, A1='00 00', Flags =  00000000 00000000 answered
2023.18.07 17:34:32.503517; AzdkServerCommands; request time: 0.11489650001749396
2023.18.07 17:34:32.522415; AzdkServerCommands; Отправка команды АЗДК-1 [id=10], P0=6, P1=0, P2=0, P3=0, Flags =  00000000 00000000 sent
2023.18.07 17:34:32.626526; AzdkServerCommands; Отправка команды АЗДК-1 [id=10], P0=6, P1=0, P2=0, P3=0, A0=6, A1='', Flags =  00000000 00000000 answered
2023.18.07 17:34:32.628569; AzdkServerCommands; request time: 0.12469840003177524
2023.18.07 17:34:32.645500; AzdkServerCommands; Отправка команды АЗДК-1 [id=11], P0=7, P1=0, P2=0, P3=0, Flags =  00000000 00000000 sent
2023.18.07 17:34:32.884397; AzdkServerCommands; request time: 0.2540367000037804
2023.18.07 17:34:32.894058; AzdkServerCommands; Отправка команды АЗДК-1 [id=12], P0=8, P1=0, Flags =  00000000 00000000 sent
2023.18.07 17:34:32.993348; AzdkServerCommands; Отправка команды АЗДК-1 [id=12], P0=8, P1=0, A0=8, A1='', Flags =  00000000 00000000 answered
2023.18.07 17:34:32.999672; AzdkServerCommands; request time: 0.11482880008406937
2023.18.07 17:34:33.016553; AzdkServerCommands; Отправка команды АЗДК-1 [id=13], P0=9, P1=0, P2=0, P3=0, P4=0, Flags =  00000000 00000000 sent
2023.18.07 17:34:33.146489; AzdkServerCommands; request time: 0.146549699944444
2023.18.07 17:34:33.156501; AzdkServerCommands; Отправка команды АЗДК-1 [id=14], P0=10, P1=0, Flags =  00000000 00000000 sent
2023.18.07 17:34:33.387447; AzdkServerCommands; request time: 0.24034589994698763
2023.18.07 17:34:33.402488; AzdkServerCommands; Отправка команды АЗДК-1 [id=15], P0=11, P1=0, P2=0, P3=0, P4=0, P5=0, P6=0, P7=0, P8=0, P9=0, P10=0, P11=0, P12=0, P13=0, P14=0, P15=0, P16=0, Flags =  00000000 00000000 sent
2023.18.07 17:34:33.524855; AzdkServerCommands; request time: 0.13702380005270243
2023.18.07 17:34:33.543935; AzdkServerCommands; Отправка команды АЗДК-1 [id=16], P0=13, P1=0, P2=0, P3=0, P4=0, Flags =  00000000 00000000 sent
2023.18.07 17:34:33.646771; AzdkServerCommands; Отправка команды АЗДК-1 [id=16], P0=13, P1=0, P2=0, P3=0, P4=0, A0=13, A1='', Flags =  00000000 00000000 answered
2023.18.07 17:34:33.650809; AzdkServerCommands; request time: 0.12539990001823753
2023.18.07 17:34:33.668898; AzdkServerCommands; Отправка команды АЗДК-1 [id=17], P0=16, Flags =  00000000 00000000 sent
2023.18.07 17:34:33.894410; AzdkServerCommands; request time: 0.2427404000191018
2023.18.07 17:34:33.916891; AzdkServerCommands; Отправка команды АЗДК-1 [id=18], P0=17, P1=0, Flags =  00000000 00000000 sent
2023.18.07 17:34:34.013268; AzdkServerCommands; Отправка команды АЗДК-1 [id=18], P0=17, P1=0, A0=17, A1='11 00 00 00', Flags =  00000000 00000000 answered
2023.18.07 17:34:34.022392; AzdkServerCommands; request time: 0.12573329999577254
2023.18.07 17:34:34.039528; AzdkServerCommands; Отправка команды АЗДК-1 [id=19], P0=18, Flags =  00000000 00000000 sent
2023.18.07 17:34:34.160527; AzdkServerCommands; request time: 0.13660329999402165
2023.18.07 17:34:34.179345; AzdkServerCommands; Отправка команды АЗДК-1 [id=20], P0=19, Flags =  00000000 00000000 sent
2023.18.07 17:34:34.414973; AzdkServerCommands; request time: 0.2521522999741137
2023.18.07 17:34:34.427670; AzdkServerCommands; Отправка команды АЗДК-1 [id=21], P0=70, Flags =  00000000 00000000 sent
2023.18.07 17:34:34.523737; AzdkServerCommands; Отправка команды АЗДК-1 [id=21], P0=70, A0=70, A1=запрещенная команда, A2=244, Flags =  00000000 00000001 answered
2023.18.07 17:34:34.532760; AzdkServerCommands; request time: 0.11735770001541823
2023.18.07 17:34:34.534720; PDSServerCommands; socket was closed
2023.18.07 17:34:34.548896; AzdkServerCommands; socket was closed
2023.18.07 17:34:34.548896; Конец испытаний.
