2023.17.07 16:08:53.702991; Старт испытаний.
2023.17.07 16:08:53.706979; AzdkServerCommands; open socket [<enum 'AzdkServerCommands'>]
2023.17.07 16:08:53.816845; AzdkServerCommands; Поименовать соединение [id=4], P0=AzdkOdsTestApp sent
2023.17.07 16:08:53.988387; AzdkServerCommands; Поименовать соединение [id=4], P0=AzdkOdsTestApp answered
2023.17.07 16:08:54.008344; PDSServerCommands; open socket [<enum 'PDSServerCommands'>]
2023.17.07 16:08:54.125269; PDSServerCommands; Поименовать соединение [id=5], P0=AzdkOdsTestApp sent
2023.17.07 16:08:54.335235; PDSServerCommands; Поименовать соединение [id=5], P0=AzdkOdsTestApp answered
2023.17.07 16:08:54.374127; AzdkServerCommands; n1 [id=1], P0=azdk2309.test1, P1=7 sent
2023.17.07 16:08:54.616012; AzdkServerCommands; n1 [id=1], P0=azdk2309.test1, P1=7 answered
2023.17.07 16:08:54.638947; PDSServerCommands; Установить ориентацию (GCRS) [id=2], P0={ 1.000000,  0.500000,  0.000000,  1.000000} sent
2023.17.07 16:08:54.728363; PDSServerCommands; Установить ориентацию (GCRS) [id=2], P0={ 1.000000,  0.500000,  0.000000,  1.000000}, Texec=2023-07-17 16:08:55.628000 answered
2023.17.07 16:08:54.779230; PDSServerCommands; Установить угловую скорость (GCRS) [id=3], P0={  0.500000,   1.000000,   1.000000} sent
2023.17.07 16:08:55.002641; PDSServerCommands; Установить угловую скорость (GCRS) [id=3], P0={  0.500000,   1.000000,   1.000000}, Texec=2023-07-17 16:08:55.770000 answered
2023.17.07 16:08:55.042038; AzdkServerCommands; Отправка команды АЗДК-1 [id=6], P0=7, P1=0, P2=0, P3=107374182 sent
2023.17.07 16:08:55.145183; AzdkServerCommands; Отправка команды АЗДК-1 [id=6], P0=7, P1=0, P2=0, P3=107374182, A0=7, A1='' answered
2023.17.07 16:08:55.147178; AzdkServerCommands; request time: 0.11833089997526258
2023.17.07 16:08:55.167128; AzdkServerCommands; Отправка команды АЗДК-1 [id=7], P0=18 sent
2023.17.07 16:08:55.398239; AzdkServerCommands; request time: 0.2506460000295192
2023.17.07 16:08:55.399233; PDSServerCommands; socket was closed
2023.17.07 16:08:55.414200; AzdkServerCommands; socket was closed
2023.17.07 16:08:55.414200; Конец испытаний.
