2023.17.07 14:02:39.841288; Старт испытаний.
2023.17.07 14:02:39.846277; AzdkServerCommands; open socket [<enum 'AzdkServerCommands'>]
2023.17.07 14:02:39.960151; AzdkServerCommands; Поименовать соединение [id=4], P0=AzdkOdsTestApp sent
2023.17.07 14:02:40.133633; AzdkServerCommands; Поименовать соединение [id=4], P0=AzdkOdsTestApp answered
2023.17.07 14:02:40.158578; PDSServerCommands; open socket [<enum 'PDSServerCommands'>]
2023.17.07 14:02:40.284981; PDSServerCommands; Поименовать соединение [id=5], P0=AzdkOdsTestApp sent
2023.17.07 14:02:40.461118; PDSServerCommands; Поименовать соединение [id=5], P0=AzdkOdsTestApp answered
2023.17.07 14:02:40.485659; AzdkServerCommands; n1 [id=1], P0=azdk2309.test1, P1=7 sent
2023.17.07 14:02:40.575787; AzdkServerCommands; n1 [id=1], P0=azdk2309.test1, P1=7 answered
2023.17.07 14:02:40.639302; PDSServerCommands; Установить ориентацию (GCRS) [id=2], P0={ 1.000000,  0.500000,  0.000000,  1.000000} sent
2023.17.07 14:02:40.727953; PDSServerCommands; Установить ориентацию (GCRS) [id=2], P0={ 1.000000,  0.500000,  0.000000,  1.000000}, Texec=2023-07-17 14:02:41.580000 answered
2023.17.07 14:02:40.793985; PDSServerCommands; Установить угловую скорость (GCRS) [id=3], P0={  0.500000,   1.000000,   1.000000} sent
2023.17.07 14:02:41.003027; PDSServerCommands; Установить угловую скорость (GCRS) [id=3], P0={  0.500000,   1.000000,   1.000000}, Texec=2023-07-17 14:02:41.735000 answered
2023.17.07 14:02:41.041226; AzdkServerCommands; Отправка команды АЗДК-1 [id=6], P0=7, P1=0, P2=0, P3=107374182 sent
2023.17.07 14:02:41.137834; AzdkServerCommands; Отправка команды АЗДК-1 [id=6], P0=7, P1=0, P2=0, P3=107374182, A0=7, A1='' answered
2023.17.07 14:02:41.140830; AzdkServerCommands; request time: 0.10551419999683276
2023.17.07 14:02:41.150307; AzdkServerCommands; Отправка команды АЗДК-1 [id=7], P0=18 sent
2023.17.07 14:02:41.250486; AzdkServerCommands; Отправка команды АЗДК-1 [id=7], P0=18, A0=18, A1='00 00 00 00 00 00 00 00 00 00 66 66 dd 5d 22 04 c1 00 e7 07' answered
2023.17.07 14:02:41.255505; AzdkServerCommands; request time: 0.11425869999220595
2023.17.07 14:02:41.259494; PDSServerCommands; socket was closed
2023.17.07 14:02:41.274346; AzdkServerCommands; socket was closed
2023.17.07 14:02:41.275024; Конец испытаний.
