2023.03.07 15:03:17.899208; Старт испытаний.
2023.03.07 15:03:17.908194; AzdkServerCommands; open socket [<enum 'AzdkServerCommands'>]
2023.03.07 15:03:18.049618; AzdkServerCommands; Поименовать соединение [id=22], P0=AzdkOdsTestApp sent
2023.03.07 15:03:18.262145; AzdkServerCommands; Поименовать соединение [id=22], P0=AzdkOdsTestApp answered
2023.03.07 15:03:18.288309; PDSServerCommands; open socket [<enum 'PDSServerCommands'>]
2023.03.07 15:03:18.426754; PDSServerCommands; Поименовать соединение [id=23], P0=AzdkOdsTestApp sent
2023.03.07 15:03:18.657135; PDSServerCommands; Поименовать соединение [id=23], P0=AzdkOdsTestApp answered
2023.03.07 15:03:18.678754; AzdkServerCommands; Изменение шаблона имени файла журнала [id=19], P0=azdk2333.test1, P1=7 sent
2023.03.07 15:03:18.787353; AzdkServerCommands; Изменение шаблона имени файла журнала [id=19], P0=azdk2333.test1, P1=7 answered
2023.03.07 15:03:18.820279; AzdkServerCommands; Отправка команды АЗДК-1 [id=24], P0=49 sent
2023.03.07 15:03:18.953705; AzdkServerCommands; request time: 0.13819530000910163
2023.03.07 15:03:28.097852; PDSServerCommands; Установить ориентацию (GCRS) [id=20], P0={ 1.000000,  0.000000,  0.000000,  1.000000} sent
2023.03.07 15:03:28.206541; PDSServerCommands; Установить ориентацию (GCRS) [id=20], P0={ 1.000000,  0.000000,  0.000000,  1.000000}, Texec=2023-07-03 15:03:26.257000 answered
2023.03.07 15:03:28.254470; PDSServerCommands; Установить угловую скорость (GCRS) [id=21], P0={  0.500000,   1.000000,   1.000000} sent
2023.03.07 15:03:28.547856; PDSServerCommands; Установить угловую скорость (GCRS) [id=21], P0={  0.500000,   1.000000,   1.000000}, Texec=2023-07-03 15:03:26.445000 answered
2023.03.07 15:03:28.597323; AzdkServerCommands; Отправка команды АЗДК-1 [id=25], P0=7, P1=1, P2=1, P3=1 sent
2023.03.07 15:03:28.835995; AzdkServerCommands; request time: 0.24330139998346567
2023.03.07 15:03:28.849963; AzdkServerCommands; Отправка команды АЗДК-1 [id=26], P0=48 sent
2023.03.07 15:03:28.993421; AzdkServerCommands; request time: 0.15677330002654344
2023.03.07 15:03:29.006121; AzdkServerCommands; Отправка команды АЗДК-1 [id=27], P0=18 sent
2023.03.07 15:03:29.133385; AzdkServerCommands; request time: 0.13937560003250837
2023.03.07 15:03:29.146818; PDSServerCommands; socket was closed
2023.03.07 15:03:29.162954; AzdkServerCommands; socket was closed
2023.03.07 15:03:29.164914; Конец испытаний.
