2023.03.07 15:05:59.039193; Старт испытаний.
2023.03.07 15:05:59.048167; AzdkServerCommands; open socket [<enum 'AzdkServerCommands'>]
2023.03.07 15:05:59.213668; AzdkServerCommands; Поименовать соединение [id=22], P0=AzdkOdsTestApp sent
2023.03.07 15:05:59.425879; AzdkServerCommands; Поименовать соединение [id=22], P0=AzdkOdsTestApp answered
2023.03.07 15:05:59.455996; PDSServerCommands; open socket [<enum 'PDSServerCommands'>]
2023.03.07 15:05:59.603013; PDSServerCommands; Поименовать соединение [id=23], P0=AzdkOdsTestApp sent
2023.03.07 15:05:59.836140; PDSServerCommands; Поименовать соединение [id=23], P0=AzdkOdsTestApp answered
2023.03.07 15:05:59.856195; AzdkServerCommands; Изменение шаблона имени файла журнала [id=19], P0=azdk2333.test1, P1=7 sent
2023.03.07 15:05:59.967227; AzdkServerCommands; Изменение шаблона имени файла журнала [id=19], P0=azdk2333.test1, P1=7 answered
2023.03.07 15:06:00.000118; AzdkServerCommands; Отправка команды АЗДК-1 [id=24], P0=49 sent
2023.03.07 15:06:00.255933; AzdkServerCommands; request time: 0.26439020002726465
2023.03.07 15:06:00.262993; PDSServerCommands; Установить ориентацию (GCRS) [id=20], P0={ 1.000000,  0.000000,  0.000000,  1.000000} sent
2023.03.07 15:06:00.370308; PDSServerCommands; Установить ориентацию (GCRS) [id=20], P0={ 1.000000,  0.000000,  0.000000,  1.000000}, Texec=2023-07-03 15:05:58.422000 answered
2023.03.07 15:06:00.415042; PDSServerCommands; Установить угловую скорость (GCRS) [id=21], P0={  0.500000,   1.000000,   1.000000} sent
2023.03.07 15:06:00.677750; PDSServerCommands; Установить угловую скорость (GCRS) [id=21], P0={  0.500000,   1.000000,   1.000000}, Texec=2023-07-03 15:05:58.575000 answered
2023.03.07 15:06:00.712966; AzdkServerCommands; Отправка команды АЗДК-1 [id=25], P0=7, P1=1, P2=1, P3=1 sent
2023.03.07 15:06:00.845874; AzdkServerCommands; request time: 0.1367776000406593
2023.03.07 15:06:00.855853; AzdkServerCommands; Отправка команды АЗДК-1 [id=26], P0=48 sent
2023.03.07 15:06:00.986625; AzdkServerCommands; request time: 0.13912680000066757
2023.03.07 15:06:00.997862; AzdkServerCommands; Отправка команды АЗДК-1 [id=27], P0=18 sent
2023.03.07 15:06:01.136974; AzdkServerCommands; request time: 0.14981309999711812
2023.03.07 15:06:01.153142; PDSServerCommands; socket was closed
2023.03.07 15:06:01.169175; AzdkServerCommands; socket was closed
2023.03.07 15:06:01.169175; Конец испытаний.
