2023.27.06 14:50:12.065667; Старт испытаний.
2023.27.06 14:50:12.071707; AzdkServerCommands; open socket [<enum 'AzdkServerCommands'>]
2023.27.06 14:50:12.203789; AzdkServerCommands; SET_CONN_NAME [id=13], P0=AzdkOdsTestApp sent
2023.27.06 14:50:12.371723; AzdkServerCommands; SET_CONN_NAME [id=13], P0=AzdkOdsTestApp answered
2023.27.06 14:50:12.391455; PDSServerCommands; open socket [<enum 'PDSServerCommands'>]
2023.27.06 14:50:12.547823; PDSServerCommands; SET_CONN_NAME [id=14], P0=AzdkOdsTestApp sent
2023.27.06 14:50:12.695202; PDSServerCommands; SET_CONN_NAME [id=14], P0=AzdkOdsTestApp answered
2023.27.06 14:50:12.749074; AzdkServerCommands; n1 [id=10], P0=azdk2309.test1, P1=7 sent
2023.27.06 14:50:12.838190; AzdkServerCommands; n1 [id=10], P0=azdk2309.test1, P1=7 answered
2023.27.06 14:50:12.890952; PDSServerCommands; angle [id=11], P0={  0.000000,   0.000000,   0.000000} sent
2023.27.06 14:50:12.975383; PDSServerCommands; angle [id=11], P0={  0.000000,   0.000000,   0.000000}, Texec=2023-06-27 14:50:14.223000 answered
2023.27.06 14:50:12.998416; PDSServerCommands; n3 [id=12], P0={ 0.500000,  0.500000,  0.500000,  0.500000} sent
2023.27.06 14:50:13.083362; PDSServerCommands; n3 [id=12], P0={ 0.500000,  0.500000,  0.500000,  0.500000}, Texec=2023-06-27 14:50:14.330000 answered
2023.27.06 14:50:13.090413; AzdkServerCommands; DEVICE_CMD [id=15], P0=1 sent
2023.27.06 14:50:13.259235; AzdkServerCommands; request time: 0.16963640000176383
2023.27.06 14:50:14.266268; AzdkServerCommands; DEVICE_CMD [id=16], P0=3, P1=0, P2=0, P3=0 sent
2023.27.06 14:50:14.515046; AzdkServerCommands; request time: 0.2544770999957109
2023.27.06 14:50:14.528488; AzdkServerCommands; DEVICE_CMD [id=17], P0=4, P1=0, P2=0 sent
2023.27.06 14:50:14.620491; AzdkServerCommands; DEVICE_CMD [id=17], P0=4, P1=0, P2=0, A0=4, A1=неверный номер регистра answered
2023.27.06 14:50:14.631010; AzdkServerCommands; request time: 0.11548160000529606
2023.27.06 14:50:14.637889; AzdkServerCommands; DEVICE_CMD [id=18], P0=5, P1=0, P2=0 sent
2023.27.06 14:50:14.875283; AzdkServerCommands; request time: 0.2440132000047015
2023.27.06 14:50:14.886106; AzdkServerCommands; DEVICE_CMD [id=19], P0=32, P1=0, P2=0, P3=0, P4=0 sent
2023.27.06 14:50:15.121476; AzdkServerCommands; request time: 0.24555319999490166
2023.27.06 14:50:15.136439; AzdkServerCommands; DEVICE_CMD [id=20], P0=6, P1=0, P2=0, P3=0 sent
2023.27.06 14:50:15.407594; AzdkServerCommands; request time: 0.2856497000029776
2023.27.06 14:50:15.418679; AzdkServerCommands; DEVICE_CMD [id=21], P0=7, P1=0, P2=0, P3=0 sent
