2023.29.06 13:49:29.742591; Старт испытаний.
2023.29.06 13:49:29.747532; AzdkServerCommands; open socket [<enum 'AzdkServerCommands'>]
2023.29.06 13:49:29.878269; AzdkServerCommands; Поименовать соединение [id=4], P0=AzdkOdsTestApp sent
2023.29.06 13:49:30.090723; AzdkServerCommands; Поименовать соединение [id=4], P0=AzdkOdsTestApp answered
2023.29.06 13:49:30.116484; PDSServerCommands; open socket [<enum 'PDSServerCommands'>]
2023.29.06 13:49:30.286329; PDSServerCommands; Поименовать соединение [id=5], P0=AzdkOdsTestApp sent
2023.29.06 13:49:30.529850; PDSServerCommands; Поименовать соединение [id=5], P0=AzdkOdsTestApp answered
2023.29.06 13:49:30.581258; AzdkServerCommands; n1 [id=1], P0=azdk2309.test1, P1=7 sent
2023.29.06 13:49:30.769284; AzdkServerCommands; n1 [id=1], P0=azdk2309.test1, P1=7 answered
2023.29.06 13:49:30.784183; PDSServerCommands; angle [id=2] sent
2023.29.06 13:49:30.873378; PDSServerCommands; angle [id=2], A0=Отсутствует параметр, Texec=2023-06-29 13:49:30.195000 answered
2023.29.06 13:49:30.894237; PDSServerCommands; n3 [id=3] sent
2023.29.06 13:49:31.036543; AzdkServerCommands; Отправка команды АЗДК-1 [id=6], P0=7, P1=1, P2=1, P3=1 sent
2023.29.06 13:49:31.209712; AzdkServerCommands; request time: 0.17658379999920726
2023.29.06 13:49:31.218709; AzdkServerCommands; Отправка команды АЗДК-1 [id=7], P0=18 sent
2023.29.06 13:49:31.319833; AzdkServerCommands; Отправка команды АЗДК-1 [id=7], P0=18, A0=18, A1='00 00 01 00 00 00 01 00 00 00 01 00 57 6f f7 02 b3 00 e7 07' answered
2023.29.06 13:49:31.325526; AzdkServerCommands; request time: 0.11506640000152402
2023.29.06 13:49:31.326524; PDSServerCommands; socket was closed
2023.29.06 13:49:31.342600; AzdkServerCommands; socket was closed
2023.29.06 13:49:31.342878; Конец испытаний.
