2023.01.06 19:24:07.486770; Старт испытаний.
2023.01.06 19:24:07.491757; AzdkServerCommands; open socket [<enum 'AzdkServerCommands'>]
2023.01.06 19:24:07.688732; AzdkServerCommands; SET_CONN_NAME [id=4], AzdkOdsTestApp sent
2023.01.06 19:24:07.849576; AzdkServerCommands; SET_CONN_NAME [id=4] answered
2023.01.06 19:24:07.875542; PDSServerCommands; open socket [<enum 'PDSServerCommands'>]
2023.01.06 19:24:08.068828; PDSServerCommands; SET_CONN_NAME [id=5], AzdkOdsTestApp sent
2023.01.06 19:24:08.152642; PDSServerCommands; SET_CONN_NAME [id=5] answered
2023.01.06 19:24:08.173580; AzdkServerCommands; n1 [id=1], azdk2309.test1, 7 sent
2023.01.06 19:24:08.173580; PDSServerCommands; angle [id=2], {  0.000000,   0.000000,   0.000000} sent
2023.01.06 19:24:08.258055; PDSServerCommands; angle [id=2], 2023-06-01 19:24:09.058000 answered
2023.01.06 19:24:08.259059; PDSServerCommands; n3 [id=3], { 0.500000,  0.500000,  0.500000,  0.500000} sent
2023.01.06 19:24:08.282032; AzdkServerCommands; DEVICE_CMD [id=6], 49 sent
2023.01.06 19:24:08.351785; PDSServerCommands; n3 [id=3], 2023-06-01 19:24:09.144000 answered
2023.01.06 19:24:08.365926; AzdkServerCommands; DEVICE_CMD [id=6], 49 answered
2023.01.06 19:24:08.367921; AzdkServerCommands; request time: 0.20206840000173543
2023.01.06 19:24:08.389440; AzdkServerCommands; DEVICE_CMD [id=7], 7, 1, 1, 1 sent
2023.01.06 19:24:08.476217; AzdkServerCommands; DEVICE_CMD [id=7], 7 answered
2023.01.06 19:24:08.484195; AzdkServerCommands; request time: 0.11611120000088704
2023.01.06 19:24:08.498150; AzdkServerCommands; DEVICE_CMD [id=8], 7, 0, 0, 0 sent
2023.01.06 19:24:08.588543; AzdkServerCommands; DEVICE_CMD [id=8], 7 answered
2023.01.06 19:24:08.591952; AzdkServerCommands; request time: 0.10752060000231722
2023.01.06 19:24:08.606913; AzdkServerCommands; DEVICE_CMD [id=9], 48 sent
2023.01.06 19:24:08.845980; AzdkServerCommands; DEVICE_CMD [id=9], 48 answered
2023.01.06 19:24:08.847973; AzdkServerCommands; request time: 0.2556938000016089
2023.01.06 19:24:08.870932; AzdkServerCommands; DEVICE_CMD [id=10], 18 sent
2023.01.06 19:24:08.958072; AzdkServerCommands; DEVICE_CMD [id=10], 18, 00 00 00 00 00 00 00 00 00 00 00 00 32 62 e6 04 93 00 e7 07 answered
2023.01.06 19:24:08.965178; AzdkServerCommands; request time: 0.1170362999982899
2023.01.06 19:24:08.980214; PDSServerCommands; socket was closed
2023.01.06 19:24:08.995847; AzdkServerCommands; socket was closed
2023.01.06 19:24:08.995847; Конец испытаний.
