2023.17.07 20:28:47.022977; Старт испытаний.
2023.17.07 20:28:47.027965; AzdkServerCommands; open socket [<enum 'AzdkServerCommands'>]
2023.17.07 20:28:47.137817; AzdkServerCommands; Поименовать соединение [id=4], P0=AzdkOdsTestApp, Flags =  00000000 00000000 sent
2023.17.07 20:28:47.312129; AzdkServerCommands; Поименовать соединение [id=4], P0=AzdkOdsTestApp, Flags =  00000000 00001000 answered
2023.17.07 20:28:47.329084; PDSServerCommands; open socket [<enum 'PDSServerCommands'>]
2023.17.07 20:28:47.433416; PDSServerCommands; Поименовать соединение [id=5], P0=AzdkOdsTestApp, Flags =  00000000 00000000 sent
2023.17.07 20:28:47.642391; PDSServerCommands; Поименовать соединение [id=5], P0=AzdkOdsTestApp, Flags =  00000000 00001000 answered
2023.17.07 20:28:47.681523; AzdkServerCommands; n1 [id=1], P0=azdk2309.test1, P1=7, Flags =  00000000 00000000 sent
2023.17.07 20:28:47.820152; PDSServerCommands; angle [id=2], P0={  0.000000,   0.000000,   0.000000}, Flags =  00000000 00000000 sent
2023.17.07 20:28:47.908671; PDSServerCommands; angle [id=2], P0={  0.000000,   0.000000,   0.000000}, Texec=2023-07-17 20:28:48.911000, Flags =  00000000 00001000 answered
2023.17.07 20:28:47.974502; PDSServerCommands; n3 [id=3], P0={ 0.500000,  0.500000,  0.500000,  0.500000}, Flags =  00000000 00000000 sent
2023.17.07 20:28:48.066253; PDSServerCommands; n3 [id=3], P0={ 0.500000,  0.500000,  0.500000,  0.500000}, Texec=2023-07-17 20:28:49.066000, Flags =  00000000 00001000 answered
2023.17.07 20:28:48.127762; AzdkServerCommands; Отправка команды АЗДК-1 [id=6], P0=3, P1=0, P2=0, P3=0, Flags =  00000000 00000000 sent
2023.17.07 20:28:48.362783; AzdkServerCommands; request time: 0.23972080001840368
2023.17.07 20:28:48.377694; AzdkServerCommands; Отправка команды АЗДК-1 [id=7], P0=4, P1=0, P2=0, Flags =  00000000 00000000 sent
2023.17.07 20:28:48.479945; AzdkServerCommands; Отправка команды АЗДК-1 [id=7], P0=4, P1=0, P2=0, A0=4, A1=неверный номер регистра, A2=248, Flags =  00000000 00000001 answered
2023.17.07 20:28:48.482578; AzdkServerCommands; request time: 0.11924450000515208
2023.17.07 20:28:48.500530; AzdkServerCommands; Отправка команды АЗДК-1 [id=8], P0=5, P1=0, P2=0, Flags =  00000000 00000000 sent
2023.17.07 20:28:48.607070; AzdkServerCommands; Отправка команды АЗДК-1 [id=8], P0=5, P1=0, P2=0, A0=5, A1='', Flags =  00000000 00000000 answered
2023.17.07 20:28:48.613052; AzdkServerCommands; request time: 0.13016900001093745
2023.17.07 20:28:48.625130; AzdkServerCommands; Отправка команды АЗДК-1 [id=9], P0=32, P1=0, P2=0, P3=0, P4=0, Flags =  00000000 00000000 sent
2023.17.07 20:28:48.851952; AzdkServerCommands; request time: 0.23866540001472458
2023.17.07 20:28:48.873408; AzdkServerCommands; Отправка команды АЗДК-1 [id=10], P0=6, P1=0, P2=0, P3=0, Flags =  00000000 00000000 sent
2023.17.07 20:28:48.979782; AzdkServerCommands; Отправка команды АЗДК-1 [id=10], P0=6, P1=0, P2=0, P3=0, A0=6, A1='', Flags =  00000000 00000000 answered
2023.17.07 20:28:48.980775; AzdkServerCommands; request time: 0.12817430001450703
2023.17.07 20:28:48.999430; AzdkServerCommands; Отправка команды АЗДК-1 [id=11], P0=7, P1=0, P2=0, P3=0, Flags =  00000000 00000000 sent
2023.17.07 20:28:49.107582; AzdkServerCommands; Отправка команды АЗДК-1 [id=11], P0=7, P1=0, P2=0, P3=0, A0=7, A1='', Flags =  00000000 00000000 answered
2023.17.07 20:28:49.110573; AzdkServerCommands; request time: 0.12951380002778023
2023.17.07 20:28:49.124304; AzdkServerCommands; Отправка команды АЗДК-1 [id=12], P0=8, P1=0, Flags =  00000000 00000000 sent
2023.17.07 20:28:49.664328; AzdkServerCommands; request time: 0.5532880999962799
2023.17.07 20:28:49.670311; AzdkServerCommands; Отправка команды АЗДК-1 [id=13], P0=9, P1=0, P2=0, P3=0, P4=0, Flags =  00000000 00000000 sent
2023.17.07 20:28:49.904261; AzdkServerCommands; request time: 0.23945729999104515
2023.17.07 20:28:49.919218; AzdkServerCommands; Отправка команды АЗДК-1 [id=14], P0=10, P1=0, Flags =  00000000 00000000 sent
2023.17.07 20:28:50.025183; AzdkServerCommands; Отправка команды АЗДК-1 [id=14], P0=10, P1=0, A0=10, A1='', Flags =  00000000 00000000 answered
2023.17.07 20:28:50.034160; AzdkServerCommands; request time: 0.1293007999775
2023.17.07 20:28:50.043357; AzdkServerCommands; Отправка команды АЗДК-1 [id=15], P0=11, P1=0, P2=0, P3=0, P4=0, P5=0, P6=0, P7=0, P8=0, P9=0, P10=0, P11=0, P12=0, P13=0, P14=0, P15=0, P16=0, Flags =  00000000 00000000 sent
2023.17.07 20:28:50.163638; AzdkServerCommands; request time: 0.12908580002840608
2023.17.07 20:28:50.167674; AzdkServerCommands; Отправка команды АЗДК-1 [id=16], P0=13, P1=0, P2=0, P3=0, P4=0, Flags =  00000000 00000000 sent
2023.17.07 20:28:50.402767; AzdkServerCommands; request time: 0.23858190001919866
2023.17.07 20:28:50.416729; AzdkServerCommands; Отправка команды АЗДК-1 [id=17], P0=16, Flags =  00000000 00000000 sent
2023.17.07 20:28:50.518970; AzdkServerCommands; Отправка команды АЗДК-1 [id=17], P0=16, A0=16, A1='14 00 00 00 0d 89 00 c1 03 00 00 00 96 0e 5d 01', Flags =  00000000 00000000 answered
2023.17.07 20:28:50.522268; AzdkServerCommands; request time: 0.11900050000986084
2023.17.07 20:28:50.541709; AzdkServerCommands; Отправка команды АЗДК-1 [id=18], P0=17, P1=0, Flags =  00000000 00000000 sent
2023.17.07 20:28:50.647988; AzdkServerCommands; Отправка команды АЗДК-1 [id=18], P0=17, P1=0, A0=17, A1='11 00 00 00', Flags =  00000000 00000000 answered
2023.17.07 20:28:50.652658; AzdkServerCommands; request time: 0.12997900001937523
2023.17.07 20:28:50.666620; AzdkServerCommands; Отправка команды АЗДК-1 [id=19], P0=18, Flags =  00000000 00000000 sent
2023.17.07 20:28:50.901192; AzdkServerCommands; request time: 0.2481440000119619
2023.17.07 20:28:50.916152; AzdkServerCommands; Отправка команды АЗДК-1 [id=20], P0=19, Flags =  00000000 00000000 sent
2023.17.07 20:28:51.013905; AzdkServerCommands; Отправка команды АЗДК-1 [id=20], P0=19, A0=19, A1='00 00 00 00 00 00 00 00 00 00 00 00 93 c8 10 2a c5 00 e7 07', Flags =  00000000 00000000 answered
2023.17.07 20:28:51.022521; AzdkServerCommands; request time: 0.12011710001388565
2023.17.07 20:28:51.025513; AzdkServerCommands; Отправка команды АЗДК-1 [id=21], P0=70, Flags =  00000000 00000000 sent
2023.17.07 20:28:51.153474; AzdkServerCommands; request time: 0.13061740004923195
2023.17.07 20:28:51.165438; PDSServerCommands; socket was closed
2023.17.07 20:28:51.180402; AzdkServerCommands; socket was closed
2023.17.07 20:28:51.180402; Конец испытаний.
