2023.02.07 19:04:27.986820; Старт испытаний.
2023.02.07 19:04:27.996218; AzdkServerCommands; open socket [<enum 'AzdkServerCommands'>]
2023.02.07 19:04:28.148180; AzdkServerCommands; Поименовать соединение [id=13], P0=AzdkOdsTestApp sent
2023.02.07 19:04:28.320244; AzdkServerCommands; Поименовать соединение [id=13], P0=AzdkOdsTestApp answered
2023.02.07 19:04:28.335660; PDSServerCommands; open socket [<enum 'PDSServerCommands'>]
2023.02.07 19:04:28.474622; PDSServerCommands; Поименовать соединение [id=14], P0=AzdkOdsTestApp sent
2023.02.07 19:04:28.655417; PDSServerCommands; Поименовать соединение [id=14], P0=AzdkOdsTestApp answered
2023.02.07 19:04:28.661318; AzdkServerCommands; Изменение шаблона имени файла журнала [id=10], P0=azdk2333.test1, P1=7 sent
2023.02.07 19:04:28.753445; AzdkServerCommands; Изменение шаблона имени файла журнала [id=10], P0=azdk2333.test1, P1=7 answered
2023.02.07 19:04:28.769736; PDSServerCommands; Установить ориентацию (GCRS) [id=11], P0={ 1.000000,  0.000000,  0.000000,  1.000000} sent
2023.02.07 19:04:28.860320; PDSServerCommands; Установить ориентацию (GCRS) [id=11], P0={ 1.000000,  0.000000,  0.000000,  1.000000}, Texec=2023-07-02 19:04:27.732000 answered
2023.02.07 19:06:00.082312; PDSServerCommands; Установить угловую скорость (GCRS) [id=12], P0={  0.500000,   1.000000,   1.000000} sent
2023.02.07 19:06:00.170497; PDSServerCommands; Установить угловую скорость (GCRS) [id=12], P0={  0.500000,   1.000000,   1.000000}, Texec=2023-07-02 19:05:59.043000 answered
2023.02.07 19:06:02.732622; AzdkServerCommands; Отправка команды АЗДК-1 [id=15], P0=49 sent
2023.02.07 19:06:02.833679; AzdkServerCommands; Отправка команды АЗДК-1 [id=15], P0=49, A0=49, A1='' answered
2023.02.07 19:06:02.841774; AzdkServerCommands; request time: 0.12673060002271086
2023.02.07 19:06:02.857927; AzdkServerCommands; Отправка команды АЗДК-1 [id=16], P0=7, P1=1, P2=1, P3=1 sent
2023.02.07 19:06:02.960474; AzdkServerCommands; Отправка команды АЗДК-1 [id=16], P0=7, P1=1, P2=1, P3=1, A0=7, A1='' answered
2023.02.07 19:06:02.970499; AzdkServerCommands; request time: 0.12610900000436231
2023.02.07 19:06:02.978566; AzdkServerCommands; Отправка команды АЗДК-1 [id=17], P0=48 sent
2023.02.07 19:06:03.098155; AzdkServerCommands; request time: 0.12682700000004843
2023.02.07 19:06:03.101370; AzdkServerCommands; Отправка команды АЗДК-1 [id=18], P0=18 sent
2023.02.07 19:06:03.338730; AzdkServerCommands; request time: 0.23982560000149533
2023.02.07 19:06:03.346707; PDSServerCommands; socket was closed
2023.02.07 19:06:03.362853; AzdkServerCommands; socket was closed
2023.02.07 19:06:03.362853; Конец испытаний.
