2023.17.07 16:58:23.525404; Старт испытаний.
2023.17.07 16:58:23.530390; AzdkServerCommands; open socket [<enum 'AzdkServerCommands'>]
2023.17.07 16:58:23.629808; AzdkServerCommands; Поименовать соединение [id=4], P0=AzdkOdsTestApp sent
2023.17.07 16:58:23.804811; AzdkServerCommands; Поименовать соединение [id=4], P0=AzdkOdsTestApp answered
2023.17.07 16:58:23.831701; PDSServerCommands; open socket [<enum 'PDSServerCommands'>]
2023.17.07 16:58:23.955742; PDSServerCommands; Поименовать соединение [id=5], P0=AzdkOdsTestApp sent
2023.17.07 16:58:24.138444; PDSServerCommands; Поименовать соединение [id=5], P0=AzdkOdsTestApp answered
2023.17.07 16:58:24.155956; AzdkServerCommands; n1 [id=1], P0=azdk2309.test1, P1=7 sent
2023.17.07 16:58:24.244722; AzdkServerCommands; n1 [id=1], P0=azdk2309.test1, P1=7 answered
2023.17.07 16:58:24.311546; PDSServerCommands; Установить ориентацию (GCRS) [id=2], P0={ 1.000000,  0.500000,  0.000000,  1.000000} sent
2023.17.07 16:58:24.401302; PDSServerCommands; Установить ориентацию (GCRS) [id=2], P0={ 1.000000,  0.500000,  0.000000,  1.000000}, Texec=2023-07-17 16:58:25.321000 answered
2023.17.07 16:58:24.466743; PDSServerCommands; Установить угловую скорость (GCRS) [id=3], P0={  0.500000,   1.000000,   1.000000} sent
2023.17.07 16:58:24.678395; PDSServerCommands; Установить угловую скорость (GCRS) [id=3], P0={  0.500000,   1.000000,   1.000000}, Texec=2023-07-17 16:58:25.475000 answered
2023.17.07 16:58:24.715296; AzdkServerCommands; Отправка команды АЗДК-1 [id=6], P0=7, P1=0, P2=0, P3=107374182 sent
2023.17.07 16:58:24.884530; AzdkServerCommands; request time: 0.1748593000229448
2023.17.07 16:58:24.902111; AzdkServerCommands; Отправка команды АЗДК-1 [id=7], P0=18 sent
2023.17.07 16:58:25.001595; AzdkServerCommands; Отправка команды АЗДК-1 [id=7], P0=18, A0=18, A1='00 00 00 00 00 00 00 00 00 00 66 66 dd 5d 22 04 c1 00 e7 07' answered
2023.17.07 16:58:25.005588; AzdkServerCommands; request time: 0.12047219998203218
2023.17.07 16:58:25.011562; PDSServerCommands; socket was closed
2023.17.07 16:58:25.026522; AzdkServerCommands; socket was closed
2023.17.07 16:58:25.026522; Конец испытаний.
