2023.19.07 16:42:25.793973; Старт испытаний.
2023.19.07 16:42:25.835836; AzdkServerCommands; open socket [<enum 'AzdkServerCommands'>]
2023.19.07 16:42:25.944518; AzdkServerCommands; Поименовать соединение [id=4], P0=AzdkOdsTestApp, Flags =  00000000 00000000 sent
2023.19.07 16:42:26.130010; AzdkServerCommands; Поименовать соединение [id=4], P0=AzdkOdsTestApp, Flags =  00000000 00001000 answered
2023.19.07 16:42:26.134936; PDSServerCommands; open socket [<enum 'PDSServerCommands'>]
2023.19.07 16:42:26.266994; PDSServerCommands; Поименовать соединение [id=5], P0=AzdkOdsTestApp, Flags =  00000000 00000000 sent
2023.19.07 16:42:26.463465; PDSServerCommands; Поименовать соединение [id=5], P0=AzdkOdsTestApp, Flags =  00000000 00001000 answered
2023.19.07 16:42:26.517766; AzdkServerCommands; n1 [id=1], P0=azdk2309.test1, P1=7, Flags =  00000000 00000000 sent
2023.19.07 16:42:26.609948; AzdkServerCommands; n1 [id=1], P0=azdk2309.test1, P1=7, Flags =  00000000 00000000 answered
2023.19.07 16:42:26.669656; PDSServerCommands; angle [id=2], P0={  0.000000,   0.000000,   0.000000}, Flags =  00000000 00000000 sent
2023.19.07 16:42:26.766932; PDSServerCommands; angle [id=2], P0={  0.000000,   0.000000,   0.000000}, Texec=2023-07-19 16:42:26.360000, Flags =  00000000 00001000 answered
2023.19.07 16:42:26.827768; PDSServerCommands; n3 [id=3], P0={ 0.500000,  0.500000,  0.500000,  0.500000}, Flags =  00000000 00000000 sent
2023.19.07 16:42:26.920079; PDSServerCommands; n3 [id=3], P0={ 0.500000,  0.500000,  0.500000,  0.500000}, Texec=2023-07-19 16:42:26.518000, Flags =  00000000 00001000 answered
2023.19.07 16:42:26.980292; AzdkServerCommands; Отправка команды АЗДК-1 [id=6], P0=3, P1=0, P2=0, P3=0, Flags =  00000000 00000000 sent
2023.19.07 16:42:27.075553; AzdkServerCommands; Отправка команды АЗДК-1 [id=6], P0=3, P1=0, P2=0, P3=0, A0=3, A1='', Flags =  00000000 00000000 answered
2023.19.07 16:42:27.075553; AzdkServerCommands; request time: 0.10769500001333654
2023.19.07 16:42:27.078920; AzdkServerCommands; Отправка команды АЗДК-1 [id=7], P0=4, P1=0, P2=0, Flags =  00000000 00000000 sent
2023.19.07 16:42:27.169825; AzdkServerCommands; Отправка команды АЗДК-1 [id=7], P0=4, P1=0, P2=0, A0=4, A1=неверный номер регистра, A2=248, Flags =  00000000 00000001 answered
2023.19.07 16:42:27.175352; AzdkServerCommands; request time: 0.0966201999981422
2023.19.07 16:42:27.180825; AzdkServerCommands; Отправка команды АЗДК-1 [id=8], P0=5, P1=0, P2=0, Flags =  00000000 00000000 sent
2023.19.07 16:42:27.409454; AzdkServerCommands; request time: 0.23357450000185054
2023.19.07 16:42:27.428078; AzdkServerCommands; Отправка команды АЗДК-1 [id=9], P0=32, P1=0, P2=0, P3=0, P4=0, Flags =  00000000 00000000 sent
2023.19.07 16:42:27.520742; AzdkServerCommands; Отправка команды АЗДК-1 [id=9], P0=32, P1=0, P2=0, P3=0, P4=0, A0=32, A1='00 00', Flags =  00000000 00000000 answered
2023.19.07 16:42:27.526726; AzdkServerCommands; request time: 0.11694429999624845
2023.19.07 16:42:27.537065; AzdkServerCommands; Отправка команды АЗДК-1 [id=10], P0=6, P1=0, P2=0, P3=0, Flags =  00000000 00000000 sent
2023.19.07 16:42:27.631533; AzdkServerCommands; Отправка команды АЗДК-1 [id=10], P0=6, P1=0, P2=0, P3=0, A0=6, A1='', Flags =  00000000 00000000 answered
2023.19.07 16:42:27.633500; AzdkServerCommands; request time: 0.10625579999759793
